ClsPric,TtlTradgVol,TradDt,TckrSymb
183.39,120705,2025-02-21,20MICRONS
981.25,481971,2025-02-21,360ONE
25.67,599585,2025-02-21,3IINFOLTD
27344.1,5081,2025-02-21,3MINDIA
369.0,30386,2025-02-21,5PAISA
683.7,604056,2025-02-21,63MOONS
80.4,74355,2025-02-21,ABINFRA
82.99,17785,2025-02-21,AAATECH
379.75,232952,2025-02-21,AADHARHFC
8.71,164009,2025-02-21,AAKASH
41.73,15737,2025-02-21,AAREYDRUGS
325.65,4436,2025-02-21,AARON
388.1,66725,2025-02-21,AARTIDRUGS
412.65,768124,2025-02-21,AARTIIND
764.35,727372,2025-02-21,AARTIPHARM
486.5,7750,2025-02-21,AARTISURF
113.32,10420,2025-02-21,AARVI
1690.75,140878,2025-02-21,AAVAS
5291.4,597090,2025-02-21,ABB
28941.95,18419,2025-02-21,ABBOTINDIA
50.61,295,2025-02-21,ABMINTLLTD
1884.0,231565,2025-02-21,ACC
1344.05,7890,2025-02-21,ACCELYA
8.67,88401,2025-02-21,ACCURACY
25.1,19776,2025-02-21,ACEINTEG
195.41,1666541,2025-02-21,ACMESOLAR
1218.25,386238,2025-02-21,ACE
670.95,1211108,2025-02-21,ADANIENSOL
2133.1,1540308,2025-02-21,ADANIENT
849.35,2895228,2025-02-21,ADANIGREEN
1083.25,2360177,2025-02-21,ADANIPORTS
478.65,2339494,2025-02-21,ADANIPOWER
581.75,590970,2025-02-21,ATGL
260.35,1000368,2025-02-21,AWL
240.4,106200,2025-02-21,ADFFOODS
662.8,272081,2025-02-21,ABSLAMC
157.28,2903247,2025-02-21,ABCAPITAL
250.6,1028619,2025-02-21,ABFRL
2062.45,170338,2025-02-21,ABREL
411.35,40148,2025-02-21,AVL
76.16,65077,2025-02-21,BSLGOLDETF
26.27,355073,2025-02-21,BSLNIFTY
883.75,41211,2025-02-21,ADORWELD
16.9,13262,2025-02-21,ADROITINFO
289.8,442096,2025-02-21,ADVENZYMES
60.6,42484,2025-02-21,ADVANIHOTR
749.85,4233263,2025-02-21,AEGISLOG
195.53,959987,2025-02-21,AEROFLEX
757.25,33077,2025-02-21,AETHER
452.7,879170,2025-02-21,AFCONS
1546.0,1249804,2025-02-21,AFFLE
441.1,13923,2025-02-21,AFFORDABLE
947.5,42395,2025-02-21,AGARIND
721.6,255173,2025-02-21,AGI
816.45,8571,2025-02-21,AGIIL
162.2,8004,2025-02-21,AGRITECH
34.57,20030,2025-02-21,AGROPHOS
829.0,15851,2025-02-21,ATFL
72.38,26095,2025-02-21,AHLADA
649.85,155838,2025-02-21,AHLUCONT
3394.1,56396,2025-02-21,AIAENG
70.44,61751,2025-02-21,GOLDTECH
29.07,151837,2025-02-21,AIRAN
105.45,3035,2025-02-21,AIROLAM
2606.5,242750,2025-02-21,AJANTPHARM
603.1,1089413,2025-02-21,AJAXENGG
802.6,51062,2025-02-21,AJMERA
7.09,352154,2025-02-21,AJOONI
28.94,10414,2025-02-21,AKASH
15.33,2154,2025-02-21,AKG
78.55,247447,2025-02-21,AFIL
231.6,3702,2025-02-21,AKSHARCHEM
496.7,183614,2025-02-21,AKUMS
3257.05,13867,2025-02-21,AKZOINDIA
17.21,373525,2025-02-21,ALANKIT
890.75,7655,2025-02-21,ALBERTDAVD
100.57,443727,2025-02-21,ALEMBICLTD
803.4,48420,2025-02-21,APLLTD
837.75,4923,2025-02-21,ALICON
1016.35,59236,2025-02-21,ALIVUS
93.34,10188,2025-02-21,ALKALI
4601.25,278927,2025-02-21,ALKEM
1695.7,22551,2025-02-21,ALKYLAMINE
68.39,264270,2025-02-21,ACLGATI
32.94,3054991,2025-02-21,ALLCARGO
30.43,216071,2025-02-21,ATL
944.5,14970,2025-02-21,ALLDIGI
332.0,477882,2025-02-21,ABDL
221.54,391761,2025-02-21,ADSL
22.34,331883,2025-02-21,ALMONDZ
16.74,3471426,2025-02-21,ALOKINDS
109.95,29126,2025-02-21,ALPA
1015.2,1224387,2025-02-21,ARE&M
6001.2,1157560,2025-02-21,AMBER
27.76,30731,2025-02-21,AMBICAAGAR
1375.65,12247,2025-02-21,AMBIKCO
481.95,3329038,2025-02-21,AMBUJACEM
49.74,7127,2025-02-21,AMDIND
2240.25,317362,2025-02-21,AMIORG
231.95,13949,2025-02-21,AMNPLST
49.1,17130,2025-02-21,AMJLAND
