ClsPric,TtlTradgVol,TradDt,TckrSymb
201.11,75022,2025-03-20,20MICRONS
926.6,554710,2025-03-20,360ONE
88.2,2041,2025-03-20,GOLD360
22.66,900936,2025-03-20,3IINFOLTD
27972.5,6489,2025-03-20,3MINDIA
339.2,51205,2025-03-20,5PAISA
749.25,315004,2025-03-20,63MOONS
94.98,128923,2025-03-20,ABINFRA
74.64,48548,2025-03-20,AAATECH
429.9,940460,2025-03-20,AADHARHFC
8.59,167859,2025-03-20,AAKASH
36.45,32439,2025-03-20,AAREYDRUGS
348.8,7203,2025-03-20,AARON
347.65,341559,2025-03-20,AARTIDRUGS
399.25,1067701,2025-03-20,AARTIIND
768.75,1108854,2025-03-20,AARTIPHARM
442.95,31861,2025-03-20,AARTISURF
104.8,29429,2025-03-20,AARVI
1980.0,543020,2025-03-20,AAVAS
5460.7,442929,2025-03-20,ABB
30179.35,7787,2025-03-20,ABBOTINDIA
47.0,262,2025-03-20,ABMINTLLTD
1889.6,219513,2025-03-20,ACC
1315.85,20952,2025-03-20,ACCELYA
8.09,217399,2025-03-20,ACCURACY
22.75,12408,2025-03-20,ACEINTEG
199.94,734535,2025-03-20,ACMESOLAR
1223.8,197080,2025-03-20,ACE
815.1,1286932,2025-03-20,ADANIENSOL
2339.3,2587051,2025-03-20,ADANIENT
923.4,3210117,2025-03-20,ADANIGREEN
1177.45,1919013,2025-03-20,ADANIPORTS
519.65,2492017,2025-03-20,ADANIPOWER
619.65,1008769,2025-03-20,ATGL
254.88,1914761,2025-03-20,AWL
243.71,104529,2025-03-20,ADFFOODS
638.8,210591,2025-03-20,ABSLAMC
176.78,6693138,2025-03-20,ABCAPITAL
250.71,2348318,2025-03-20,ABFRL
1937.05,252783,2025-03-20,ABREL
436.25,379979,2025-03-20,AVL
78.56,56921,2025-03-20,BSLGOLDETF
26.68,190524,2025-03-20,BSLNIFTY
895.1,36120,2025-03-20,ADORWELD
13.43,372956,2025-03-20,ADROITINFO
288.25,259963,2025-03-20,ADVENZYMES
61.92,54880,2025-03-20,ADVANIHOTR
791.15,604013,2025-03-20,AEGISLOG
174.21,854425,2025-03-20,AEROFLEX
857.8,50281,2025-03-20,AETHER
470.0,1355935,2025-03-20,AFCONS
1509.05,235412,2025-03-20,AFFLE
404.85,22881,2025-03-20,AFFORDABLE
1061.4,20998,2025-03-20,AGARIND
710.8,162082,2025-03-20,AGI
854.7,105136,2025-03-20,AGIIL
141.44,9988,2025-03-20,AGRITECH
30.15,26134,2025-03-20,AGROPHOS
811.65,157300,2025-03-20,ATFL
63.1,92471,2025-03-20,AHLADA
811.5,182859,2025-03-20,AHLUCONT
3250.7,67186,2025-03-20,AIAENG
47.98,224059,2025-03-20,GOLDTECH
27.07,155802,2025-03-20,AIRAN
