ClsPric,TtlTradgVol,TradDt,TckrSymb
204.64,84307,2025-04-15,20MICRONS
73.06,2573,2025-04-15,21STCENMGM
938.7,2860927,2025-04-15,360ONE
92.9,1550,2025-04-15,GOLD360
98.08,4387,2025-04-15,SILVER360
21.99,587928,2025-04-15,3IINFOLTD
30385.0,10539,2025-04-15,3MINDIA
41.99,7290,2025-04-15,3PLAND
378.55,26399,2025-04-15,5PAISA
745.4,228971,2025-04-15,63MOONS
82.99,91971,2025-04-15,ABINFRA
14.69,239968,2025-04-15,A2ZINFRA
75.29,24317,2025-04-15,AAATECH
467.7,481923,2025-04-15,AADHARHFC
8.81,226700,2025-04-15,AAKASH
52.6,92656,2025-04-15,AAREYDRUGS
358.7,4943,2025-04-15,AARON
57.08,25957,2025-04-15,AARTECH
355.25,311504,2025-04-15,AARTIDRUGS
398.35,2101013,2025-04-15,AARTIIND
713.45,536588,2025-04-15,AARTIPHARM
447.25,7067,2025-04-15,AARTISURF
101.09,15534,2025-04-15,AARVI
2004.8,244805,2025-04-15,AAVAS
5246.5,334196,2025-04-15,ABB
30950.0,11843,2025-04-15,ABBOTINDIA
49.76,1316,2025-04-15,ABMINTLLTD
2046.9,240574,2025-04-15,ACC
1302.3,6545,2025-04-15,ACCELYA
8.03,242354,2025-04-15,ACCURACY
25.56,45690,2025-04-15,ACEINTEG
206.67,1467544,2025-04-15,ACMESOLAR
1248.4,105281,2025-04-15,ACE
887.4,2537147,2025-04-15,ADANIENSOL
2418.2,1145125,2025-04-15,ADANIENT
936.65,2944940,2025-04-15,ADANIGREEN
1210.8,3176522,2025-04-15,ADANIPORTS
542.2,8055146,2025-04-15,ADANIPOWER
610.65,716934,2025-04-15,ATGL
280.25,3379856,2025-04-15,AWL
231.98,59153,2025-04-15,ADFFOODS
629.05,199529,2025-04-15,ABSLAMC
190.64,3226844,2025-04-15,ABCAPITAL
263.65,1499585,2025-04-15,ABFRL
1857.2,210694,2025-04-15,ABREL
443.95,47202,2025-04-15,AVL
82.57,80395,2025-04-15,BSLGOLDETF
26.87,230139,2025-04-15,BSLNIFTY
881.85,6979,2025-04-15,ADOR
11.87,31011,2025-04-15,ADROITINFO
288.55,79304,2025-04-15,ADVENZYMES
60.7,31030,2025-04-15,ADVANIHOTR
766.05,632036,2025-04-15,AEGISLOG
173.03,559647,2025-04-15,AEROFLEX
829.65,23210,2025-04-15,AETHER
442.9,620267,2025-04-15,AFCONS
1541.4,175432,2025-04-15,AFFLE
390.4,18600,2025-04-15,AFFORDABLE
1015.2,21569,2025-04-15,AGARIND
788.45,155868,2025-04-15,AGI
789.45,155376,2025-04-15,AGIIL
140.44,12309,2025-04-15,AGRITECH
31.77,16489,2025-04-15,AGROPHOS
62.98,18286,2025-04-15,AHLADA
905.95,322933,2025-04-15,AHLUCONT
3174.0,28600,2025-04-15,AIAENG
56.43,56406,2025-04-15,GOLDTECH
27.79,133555,2025-04-15,AIRAN
95.65,1454,2025-04-15,AIROLAM
2623.2,77041,2025-04-15,AJANTPHARM
626.9,201464,2025-04-15,AJAXENGG
839.7,82916,2025-04-15,AJMERA
6.09,698666,2025-04-15,AJOONI
26.33,12423,2025-04-15,AKASH
12.82,13146,2025-04-15,AKG
88.65,1096363,2025-04-15,AFIL
12.07,389223,2025-04-15,AKSHOPTFBR
212.25,11100,2025-04-15,AKSHARCHEM
477.15,1226707,2025-04-15,AKUMS
3482.2,14473,2025-04-15,AKZOINDIA
15.28,195083,2025-04-15,ALANKIT
843.65,8576,2025-04-15,ALBERTDAVD
103.77,808977,2025-04-15,ALEMBICLTD
846.45,125028,2025-04-15,APLLTD
670.35,19820,2025-04-15,ALICON
991.6,110952,2025-04-15,ALIVUS
83.47,15862,2025-04-15,ALKALI
4920.8,97788,2025-04-15,ALKEM
1770.6,49308,2025-04-15,ALKYLAMINE
56.91,209244,2025-04-15,ACLGATI
28.59,1511415,2025-04-15,ALLCARGO
24.62,315523,2025-04-15,ATL
956.3,3093,2025-04-15,ALLDIGI
309.3,6712121,2025-04-15,ABDL
189.42,169659,2025-04-15,ADSL
25.82,355143,2025-04-15,ALMONDZ
16.05,3675722,2025-04-15,ALOKINDS
109.45,34327,2025-04-15,ALPA
994.6,620242,2025-04-15,ARE&M
6880.0,397603,2025-04-15,AMBER
27.19,18093,2025-04-15,AMBICAAGAR
1384.6,11508,2025-04-15,AMBIKCO
558.05,2937116,2025-04-15,AMBUJACEM
46.29,11803,2025-04-15,AMDIND
2352.2,277735,2025-04-15,AMIORG
218.56,6980,2025-04-15,AMNPLST
47.32,62760,2025-04-15,AMJLAND
669.5,268873,2025-04-15,AMRUTANJAN
1773.9,83398,2025-04-15,ANANDRATHI
476.45,7384243,2025-04-15,ANANTRAJ
55.38,13057,2025-04-15,ACL
73.61,175525,2025-04-15,ANDHRAPAP
70.61,205236,2025-04-15,ANDHRSUGAR
2318.4,791025,2025-04-15,ANGELONE
115.68,26765,2025-04-15,APCL
16.41,71678,2025-04-15,ANMOL
1.01,161168,2025-04-15,ANTGRAPHIC
520.8,279486,2025-04-15,AWHCL
174.23,11595,2025-04-15,ANUHPHR
752.05,1019751,2025-04-15,ANURAS
1003.58,45657,2025-04-15,AONELIQUID
10.73,301470,2025-04-15,AONETOTAL
