ClsPric,TtlTradgVol,TradDt,TckrSymb
802.45,21689,2025-01-02,ZOTA
6891.7,323524,2025-01-02,ABB
3677.15,626,2025-01-02,BANARISUG
131.82,78264,2025-01-02,SSDL
171.93,7278,2025-01-02,AHLEAST
1412.85,99679,2025-01-02,CARERATING
18.73,231877,2025-01-02,MOKSH
50.9,291810,2025-01-02,TCLCONS
134.18,137329,2025-01-02,FOCUS
37.97,152641,2025-01-02,BSE500IETF
242.27,21560,2025-01-02,SETF10GILT
1695.65,268222,2025-01-02,AAVAS
620.0,72422,2025-01-02,AWHCL
212.23,3878,2025-01-02,CONSOFINVT
1956.05,379072,2025-01-02,COROMANDEL
1054.45,159733,2025-01-02,UNOMINDA
104.29,14038884,2025-01-02,DHANI
57.69,414546,2025-01-02,DWARKESH
508.25,469710,2025-01-02,GUJGASLTD
25.49,21818,2025-01-02,HDFCNIF100
429.7,9453,2025-01-02,RANEENGINE
41.98,1115552,2025-01-02,SADHNANIQ
869.4,2056138,2025-01-02,ANANTRAJ
217.91,3102552,2025-01-02,IRCON
875.75,19518,2025-01-02,KSCL
1688.55,615262,2025-01-02,UNITDSPR
293.75,50251,2025-01-02,FLAIR
18.07,3337,2025-01-02,ORTINGLOBE
1046.15,146357,2025-01-02,DYCL
153.52,112796,2025-01-02,SATIN
251.12,282845,2025-01-02,EXICOM
117.64,196000,2025-01-02,GEOJITFSL
559.9,6359,2025-01-02,HINDCOMPOS
1818.65,624221,2025-01-02,HYUNDAI
257.3,3443797,2025-01-02,PPLPHARMA
5515.8,33393,2025-01-02,BASF
304.05,1769032,2025-01-02,VPRPL
71.34,2688167,2025-01-02,NETWORK18
641.25,294181,2025-01-02,AKUMS
1936.35,424457,2025-01-02,IKS
683.0,14611,2025-01-02,RUSTOMJEE
210.77,365178,2025-01-02,MON100
268.95,16217,2025-01-02,NAHARPOLY
23.13,3038783,2025-01-02,SUBEXLTD
1061.85,94640,2025-01-02,SUNDRMFAST
10.99,373674,2025-01-02,ACCURACY
1789.45,35400,2025-01-02,ALKYLAMINE
747.6,327926,2025-01-02,BIKAJI
606.05,1316441,2025-01-02,LICHSGFIN
104.72,253170,2025-01-02,TPLPLASTEH
131.36,1592246,2025-01-02,GARUDA
1146.65,54116,2025-01-02,GOKEX
174.44,43352,2025-01-02,GULPOLY
239.58,5733,2025-01-02,HITECHCORP
415.25,1248680,2025-01-02,AARTIIND
1666.3,262023,2025-01-02,WABAG
514.95,31732,2025-01-02,VRLLOG
7.29,2268378,2025-01-02,GANGAFORGE
328.75,560604,2025-01-02,PNCINFRA
193.88,822047,2025-01-02,SEQUENT
1244.75,78678,2025-01-02,BIRLACORPN
752.45,24433419,2025-01-02,TANLA
22.04,176590,2025-01-02,GENUSPAPER
184.22,403496,2025-01-02,GPPL
941.7,1107101,2025-01-02,JINDALSTEL
27.51,1841,2025-01-02,KHANDSE
279.35,2308,2025-01-02,TAINWALCHM
764.05,93866,2025-01-02,WONDERLA
44.31,63395,2025-01-02,GENCON
272.4,5612253,2025-01-02,GREAVESCOT
68.25,27201,2025-01-02,BSLGOLDETF
163.56,6492,2025-01-02,APCL
411.75,229872,2025-01-02,ASHAPURMIN
52.66,56261,2025-01-02,BASML
27.57,10833086,2025-01-02,JYOTISTRUC
2858.15,9661,2025-01-02,TIIL
512.15,93443,2025-01-02,AVL
379.6,67285,2025-01-02,AVG
4248.5,12410,2025-01-02,INGERRAND
52.36,275745,2025-01-02,MIDSMALL
8537.1,8236,2025-01-02,DYNAMATECH
101.81,90942,2025-01-02,GROWWLIQID
26.86,1035985,2025-01-02,INDOWIND
87.33,1922,2025-01-02,KHAITANLTD
613.1,1465317,2025-01-02,LAURUSLABS
326.2,30536,2025-01-02,SHREEPUSHK
454.95,594781,2025-01-02,TRIVENI
1076.15,149177,2025-01-02,HOMEFIRST
49.06,2058066,2025-01-02,PAISALO
478.25,318569,2025-01-02,SAREGAMA
152.33,6057,2025-01-02,AXISHCETF
131.91,34095,2025-01-02,KRITINUT
119.47,1736,2025-01-02,AXISCETF
1700.65,8022190,2025-01-02,BAJAJFINSV
333.3,123964,2025-01-02,LOKESHMACH
138.18,23388424,2025-01-02,TATASTEEL
28.53,527153,2025-01-02,ALPL30IETF
886.85,55105,2025-01-02,POCL
3001.0,372124,2025-01-02,LALPATHLAB
146.47,55534,2025-01-02,NAVNETEDUL
969.85,75244,2025-01-02,VIMTALABS
2501.2,182180,2025-01-02,ZENTEC
156.19,211211,2025-01-02,ESTER
398.15,257217,2025-01-02,GOCLCORP
8.29,399575,2025-01-02,PRAKASHSTL
439.6,100384,2025-01-02,BARBEQUE
208.15,683742,2025-01-02,BLSE
158.05,972719,2025-01-02,KELLTONTEC
149.5,29555,2025-01-02,MANCREDIT
17.99,2211979,2025-01-02,MOSMALL250
1300.25,144659,2025-01-02,NH
350.85,209749,2025-01-02,FCL
56.05,355494,2025-01-02,ONEPOINT
525.15,241252,2025-01-02,ARVINDFASN
39.84,126042,2025-01-02,JAYNECOIND
499.8,102128,2025-01-02,HARIOMPIPE
76.63,5335473,2025-01-02,IDBI
1122.8,256963,2025-01-02,MFSL
115.85,19098,2025-01-02,STEELCITY
4698.9,1765661,2025-01-02,SUNDARMFIN
820.5,1985911,2025-01-02,WELCORP
105.21,42403,2025-01-02,DCM
360.25,12772,2025-01-02,GALLANTT
3719.35,181694,2025-01-02,PIIND
636.6,48082,2025-01-02,RAMKY
96.16,101189,2025-01-02,SATIA
217.42,63917,2025-01-02,BHARATWIRE
972.95,34111,2025-01-02,JINDALPOLY
170.01,27130,2025-01-02,MASTERTR
136.57,110063,2025-01-02,SMCGLOBAL
52.86,41755,2025-01-02,UTIBANKETF
388.85,61454,2025-01-02,PURVA
3826.1,15885,2025-01-02,BBL
822.65,754965,2025-01-02,JUBLINGREA
