ClsPric,TtlTradgVol,TradDt,TckrSymb
177.57,110950,2025-03-04,20MICRONS
983.05,1119762,2025-03-04,360ONE
23.01,798580,2025-03-04,3IINFOLTD
25982.5,4679,2025-03-04,3MINDIA
327.6,34198,2025-03-04,5PAISA
695.15,94783,2025-03-04,63MOONS
79.72,62878,2025-03-04,ABINFRA
78.63,29343,2025-03-04,AAATECH
380.55,923372,2025-03-04,AADHARHFC
7.84,65146,2025-03-04,AAKASH
36.82,17979,2025-03-04,AAREYDRUGS
348.45,4412,2025-03-04,AARON
350.4,102021,2025-03-04,AARTIDRUGS
381.95,952392,2025-03-04,AARTIIND
728.7,345290,2025-03-04,AARTIPHARM
416.15,7372,2025-03-04,AARTISURF
97.66,10268,2025-03-04,AARVI
1677.75,259253,2025-03-04,AAVAS
5191.4,506485,2025-03-04,ABB
31539.9,25847,2025-03-04,ABBOTINDIA
45.22,328,2025-03-04,ABMINTLLTD
1828.85,165352,2025-03-04,ACC
1270.05,8385,2025-03-04,ACCELYA
8.18,174966,2025-03-04,ACCURACY
21.74,17569,2025-03-04,ACEINTEG
191.33,2312750,2025-03-04,ACMESOLAR
1068.8,449861,2025-03-04,ACE
646.65,1074477,2025-03-04,ADANIENSOL
2144.8,852978,2025-03-04,ADANIENT
768.55,7726332,2025-03-04,ADANIGREEN
1057.95,1788886,2025-03-04,ADANIPORTS
483.25,2722804,2025-03-04,ADANIPOWER
547.15,621261,2025-03-04,ATGL
239.87,1693378,2025-03-04,AWL
241.75,175723,2025-03-04,ADFFOODS
605.5,207618,2025-03-04,ABSLAMC
154.55,7346014,2025-03-04,ABCAPITAL
239.57,1216952,2025-03-04,ABFRL
2001.1,571844,2025-03-04,ABREL
448.05,133249,2025-03-04,AVL
76.57,50785,2025-03-04,BSLGOLDETF
25.43,175880,2025-03-04,BSLNIFTY
858.6,23422,2025-03-04,ADORWELD
15.58,17213,2025-03-04,ADROITINFO
266.05,214361,2025-03-04,ADVENZYMES
53.98,124892,2025-03-04,ADVANIHOTR
765.55,1030111,2025-03-04,AEGISLOG
162.22,1403951,2025-03-04,AEROFLEX
918.05,240166,2025-03-04,AETHER
424.9,868212,2025-03-04,AFCONS
1436.35,207189,2025-03-04,AFFLE
420.45,20785,2025-03-04,AFFORDABLE
875.7,13516,2025-03-04,AGARIND
656.85,295788,2025-03-04,AGI
813.7,9203,2025-03-04,AGIIL
127.95,27301,2025-03-04,AGRITECH
28.58,31950,2025-03-04,AGROPHOS
818.45,19418,2025-03-04,ATFL
65.12,66521,2025-03-04,AHLADA
672.25,100666,2025-03-04,AHLUCONT
3133.15,23381,2025-03-04,AIAENG
62.51,60945,2025-03-04,GOLDTECH
24.13,194150,2025-03-04,AIRAN
99.2,8753,2025-03-04,AIROLAM
2448.9,112361,2025-03-04,AJANTPHARM
604.75,402151,2025-03-04,AJAXENGG
785.55,74699,2025-03-04,AJMERA
7.16,1420547,2025-03-04,AJOONI
26.87,51471,2025-03-04,AKASH
12.64,50841,2025-03-04,AKG
66.91,80439,2025-03-04,AFIL
216.71,6834,2025-03-04,AKSHARCHEM
475.95,930431,2025-03-04,AKUMS
3143.1,4934,2025-03-04,AKZOINDIA
15.35,467668,2025-03-04,ALANKIT
822.4,5853,2025-03-04,ALBERTDAVD
90.46,467485,2025-03-04,ALEMBICLTD
791.9,438973,2025-03-04,APLLTD
726.45,12484,2025-03-04,ALICON
1021.4,262715,2025-03-04,ALIVUS
82.17,12963,2025-03-04,ALKALI
4614.65,140023,2025-03-04,ALKEM
1648.9,46900,2025-03-04,ALKYLAMINE
60.68,366526,2025-03-04,ACLGATI
30.85,2775253,2025-03-04,ALLCARGO
27.1,208139,2025-03-04,ATL
936.8,20786,2025-03-04,ALLDIGI
315.15,372022,2025-03-04,ABDL
195.62,550895,2025-03-04,ADSL
20.99,496785,2025-03-04,ALMONDZ
16.49,25497041,2025-03-04,ALOKINDS
97.38,49127,2025-03-04,ALPA
966.55,672523,2025-03-04,ARE&M
5761.6,540225,2025-03-04,AMBER
27.35,46196,2025-03-04,AMBICAAGAR
1299.3,11129,2025-03-04,AMBIKCO
475.0,1247846,2025-03-04,AMBUJACEM
