ClsPric,TtlTradgVol,TradDt,TckrSymb
183.5,95561,2025-02-20,20MICRONS
955.25,864634,2025-02-20,360ONE
26.09,431919,2025-02-20,3IINFOLTD
27442.8,2401,2025-02-20,3MINDIA
372.25,25281,2025-02-20,5PAISA
678.85,8705,2025-02-20,63MOONS
81.32,66560,2025-02-20,ABINFRA
86.33,16608,2025-02-20,AAATECH
381.0,487920,2025-02-20,AADHARHFC
8.79,72999,2025-02-20,AAKASH
42.47,25471,2025-02-20,AAREYDRUGS
328.35,4284,2025-02-20,AARON
387.7,146428,2025-02-20,AARTIDRUGS
422.95,594697,2025-02-20,AARTIIND
786.8,558204,2025-02-20,AARTIPHARM
478.8,8434,2025-02-20,AARTISURF
115.76,12915,2025-02-20,AARVI
1690.2,110449,2025-02-20,AAVAS
5344.65,757479,2025-02-20,ABB
29429.65,5736,2025-02-20,ABBOTINDIA
51.0,75,2025-02-20,ABMINTLLTD
1886.85,134186,2025-02-20,ACC
1357.45,9381,2025-02-20,ACCELYA
8.55,73172,2025-02-20,ACCURACY
25.83,33583,2025-02-20,ACEINTEG
200.29,1703972,2025-02-20,ACMESOLAR
1247.25,392233,2025-02-20,ACE
678.0,1271876,2025-02-20,ADANIENSOL
2179.0,1086670,2025-02-20,ADANIENT
864.95,3499937,2025-02-20,ADANIGREEN
1111.7,3714173,2025-02-20,ADANIPORTS
484.3,3781087,2025-02-20,ADANIPOWER
587.7,577250,2025-02-20,ATGL
263.0,1676625,2025-02-20,AWL
239.75,106280,2025-02-20,ADFFOODS
648.3,198574,2025-02-20,ABSLAMC
158.07,1571866,2025-02-20,ABCAPITAL
255.6,997692,2025-02-20,ABFRL
2030.25,97953,2025-02-20,ABREL
413.15,94935,2025-02-20,AVL
76.91,505725,2025-02-20,BSLGOLDETF
26.36,92941,2025-02-20,BSLNIFTY
866.35,14397,2025-02-20,ADORWELD
16.36,46753,2025-02-20,ADROITINFO
296.2,309994,2025-02-20,ADVENZYMES
59.91,91144,2025-02-20,ADVANIHOTR
729.25,5033683,2025-02-20,AEGISLOG
200.96,1098933,2025-02-20,AEROFLEX
762.2,25721,2025-02-20,AETHER
455.9,1064923,2025-02-20,AFCONS
1480.75,274133,2025-02-20,AFFLE
447.05,97419,2025-02-20,AFFORDABLE
955.35,25934,2025-02-20,AGARIND
724.25,240986,2025-02-20,AGI
818.7,18120,2025-02-20,AGIIL
162.79,4810,2025-02-20,AGRITECH
34.92,19536,2025-02-20,AGROPHOS
839.7,37207,2025-02-20,ATFL
74.07,27720,2025-02-20,AHLADA
672.8,115149,2025-02-20,AHLUCONT
3400.95,28606,2025-02-20,AIAENG
71.63,70269,2025-02-20,GOLDTECH
29.01,138027,2025-02-20,AIRAN
105.27,6736,2025-02-20,AIROLAM
2663.7,424176,2025-02-20,AJANTPHARM
600.5,773303,2025-02-20,AJAXENGG
834.7,32773,2025-02-20,AJMERA
7.04,558326,2025-02-20,AJOONI
27.5,2257,2025-02-20,AKASH
15.25,24319,2025-02-20,AKG
76.34,572266,2025-02-20,AFIL
232.05,8529,2025-02-20,AKSHARCHEM
511.35,320036,2025-02-20,AKUMS
3289.45,8858,2025-02-20,AKZOINDIA
17.22,545538,2025-02-20,ALANKIT
904.85,4987,2025-02-20,ALBERTDAVD
102.83,347152,2025-02-20,ALEMBICLTD
814.3,45573,2025-02-20,APLLTD
842.9,10915,2025-02-20,ALICON
1055.4,44551,2025-02-20,ALIVUS
93.7,8393,2025-02-20,ALKALI
4720.0,201094,2025-02-20,ALKEM
1701.05,21144,2025-02-20,ALKYLAMINE
68.72,380956,2025-02-20,ACLGATI
33.5,3168862,2025-02-20,ALLCARGO
31.13,544631,2025-02-20,ATL
927.7,27634,2025-02-20,ALLDIGI
338.45,277166,2025-02-20,ABDL
230.01,248140,2025-02-20,ADSL
21.35,770283,2025-02-20,ALMONDZ
17.06,2661774,2025-02-20,ALOKINDS
110.83,20604,2025-02-20,ALPA
1045.6,5830859,2025-02-20,ARE&M
5837.0,817813,2025-02-20,AMBER
28.83,11595,2025-02-20,AMBICAAGAR
1391.15,8485,2025-02-20,AMBIKCO
482.85,1676642,2025-02-20,AMBUJACEM
48.0,22485,2025-02-20,AMDIND
2282.55,328019,2025-02-20,AMIORG
237.45,8836,2025-02-20,AMNPLST
50.6,29811,2025-02-20,AMJLAND
597.75,17410,2025-02-20,AMRUTANJAN
3861.75,254813,2025-02-20,ANANDRATHI
543.0,1632841,2025-02-20,ANANTRAJ
63.12,23008,2025-02-20,ACL
79.37,70263,2025-02-20,ANDHRAPAP
80.32,188811,2025-02-20,ANDHRSUGAR
2392.8,986218,2025-02-20,ANGELONE
94.59,4802,2025-02-20,ANIKINDS
125.54,12333,2025-02-20,APCL
18.6,66012,2025-02-20,ANMOL
1.06,239492,2025-02-20,ANTGRAPHIC
557.05,88270,2025-02-20,AWHCL
161.06,60672,2025-02-20,ANUHPHR
642.45,99597,2025-02-20,ANURAS
6376.0,172497,2025-02-20,APARINDS
329.8,29088,2025-02-20,APCOTEXIND
215.25,67243,2025-02-20,APEX
1476.6,1684963,2025-02-20,APLAPOLLO
6390.95,165304,2025-02-20,APOLLOHOSP
118.28,6873141,2025-02-20,APOLLO
339.4,68918,2025-02-20,APOLLOPIPE
1397.95,3856,2025-02-20,APOLSINHOT
418.4,663978,2025-02-20,APOLLOTYRE
126.64,108026,2025-02-20,APTECHT
301.35,233843,2025-02-20,APTUS
449.45,5806807,2025-02-20,ACI
73.98,1851,2025-02-20,ADL
87.91,102207,2025-02-20,ARCHIDPLY
19.7,28020,2025-02-20,ARCHIES
