ClsPric,TtlTradgVol,TradDt,TckrSymb
784.0,76569,2025-03-13,ZOTA
5125.75,401647,2025-03-13,PERSISTENT
92.03,58833,2025-03-13,SSDL
5118.55,367022,2025-03-13,ABB
3252.0,996,2025-03-13,BANARISUG
172.11,157803,2025-03-13,INDOFARM
411.2,7810,2025-03-13,MANORG
374.25,488143,2025-03-13,TARIL
35.26,7234125,2025-03-13,UJJIVANSFB
1553.25,17360,2025-03-13,VINATIORGA
153.22,873831,2025-03-13,REDTAPE
229.68,63321,2025-03-13,ARTEMISMED
241.92,65735,2025-03-13,ASIANENE
244.52,32682,2025-03-13,NIFTY1
2316.0,2934181,2025-03-13,MAZDOCK
3312.65,947,2025-03-13,NDGL
19.53,91288,2025-03-13,SURANAT&P
1656.35,4232,2025-03-13,THEJO
1104.5,12758,2025-03-13,TTKHLTCARE
54.74,1548675,2025-03-13,FMCGIETF
643.75,45744,2025-03-13,SPAL
961.6,412914,2025-03-13,ARE&M
127.32,831651,2025-03-13,BOMDYEING
332.7,424973,2025-03-13,CAPACITE
60.7,814482,2025-03-13,IOLCP
514.1,4303396,2025-03-13,JSWENERGY
350.5,395471,2025-03-13,LATENTVIEW
16.89,2010326,2025-03-13,MOTISONS
74.33,8234957,2025-03-13,GMRAIRPORT
2214.25,42063,2025-03-13,POLYMED
62.58,41294,2025-03-13,AHLADA
77.7,6005,2025-03-13,AUSOMENT
157.99,21580,2025-03-13,AVROIND
37.19,33436,2025-03-13,CORALFINAC
97.46,8457,2025-03-13,LAGNAM
270.06,470339,2025-03-13,MIDHANI
219.08,11778,2025-03-13,SREEL
8.53,5790858,2025-03-13,TATAGOLD
1278.25,74499,2025-03-13,VENUSPIPES
249.86,571118,2025-03-13,NIFTYIETF
450.85,86821,2025-03-13,PDSL
87.2,14771127,2025-03-13,PNB
412.3,19063,2025-03-13,REPRO
77.05,49059,2025-03-13,BSLGOLDETF
104.96,51339,2025-03-13,APCL
310.3,231867,2025-03-13,ASHAPURMIN
30.34,591342,2025-03-13,BASML
1841.95,67810,2025-03-13,CAPLIPOINT
159.08,265415,2025-03-13,CGCL
15.89,10847871,2025-03-13,JYOTISTRUC
15035.55,2047,2025-03-13,LMW
521.15,42241,2025-03-13,LUMAXTECH
614.05,65516,2025-03-13,SIYSIL
2441.0,24912,2025-03-13,TIIL
24.92,606,2025-03-13,NIF10GETF
1114.25,60810,2025-03-13,DHANUKA
24.27,36061,2025-03-13,HDFCPVTBAN
15.02,256511,2025-03-13,MIDSELIETF
899.8,368733,2025-03-13,PVRINOX
8590.65,7496,2025-03-13,IWEL
18.64,449799,2025-03-13,LOWVOL1
478.75,67601,2025-03-13,SOLARA
804.4,1810,2025-03-13,UTISENSETF
149.18,224238,2025-03-13,DCMSRIND
70.21,244719,2025-03-13,DOLATALGO
905.85,14850,2025-03-13,EXCELINDUS
3396.15,1229721,2025-03-13,HAL
362.45,6044,2025-03-13,NITIRAJ
170.81,15937,2025-03-13,OCCL
795.95,44354,2025-03-13,RPSGVENT
1406.55,20070,2025-03-13,SASKEN
97.53,136757,2025-03-13,SBISILVER
5541.15,24497,2025-03-13,ATUL
571.65,394716,2025-03-13,AWFIS
1039.25,1894793,2025-03-13,BHARATFORG
490.4,1811762,2025-03-13,INDIANB
73.32,1365289,2025-03-13,GOLD1
290.45,52722,2025-03-13,SHREEPUSHK
246.84,4324,2025-03-13,NPBET
1591.0,18522,2025-03-13,ZYDUSWELL
5199.3,19078,2025-03-13,CERA
40.7,9511951,2025-03-13,IFCI
73.63,17328,2025-03-13,KHAITANLTD
204.85,237944,2025-03-13,STARCEMENT
7.71,1668216,2025-03-13,STEELXIND
