ClsPric,TtlTradgVol,TradDt,TckrSymb
192.42,128974,2025-03-27,20MICRONS
971.4,1816532,2025-03-27,360ONE
88.0,15252,2025-03-27,GOLD360
21.98,2172124,2025-03-27,3IINFOLTD
27891.9,4804,2025-03-27,3MINDIA
38.0,18493,2025-03-27,3PLAND
373.6,88795,2025-03-27,5PAISA
830.7,169035,2025-03-27,63MOONS
103.0,397636,2025-03-27,ABINFRA
14.1,1058484,2025-03-27,A2ZINFRA
72.55,80573,2025-03-27,AAATECH
423.5,2571261,2025-03-27,AADHARHFC
7.67,458061,2025-03-27,AAKASH
36.5,41273,2025-03-27,AAREYDRUGS
332.45,7300,2025-03-27,AARON
353.1,703789,2025-03-27,AARTIDRUGS
395.5,1907764,2025-03-27,AARTIIND
746.0,451848,2025-03-27,AARTIPHARM
402.5,44093,2025-03-27,AARTISURF
101.65,8688,2025-03-27,AARVI
2087.2,334232,2025-03-27,AAVAS
5540.35,403518,2025-03-27,ABB
30569.15,10564,2025-03-27,ABBOTINDIA
43.09,114,2025-03-27,ABMINTLLTD
1964.1,324752,2025-03-27,ACC
1285.85,16347,2025-03-27,ACCELYA
7.68,334086,2025-03-27,ACCURACY
21.36,7395,2025-03-27,ACEINTEG
195.3,1811215,2025-03-27,ACMESOLAR
1259.0,651323,2025-03-27,ACE
872.85,8208182,2025-03-27,ADANIENSOL
2363.35,1696042,2025-03-27,ADANIENT
959.9,5918219,2025-03-27,ADANIGREEN
1196.75,2004036,2025-03-27,ADANIPORTS
519.9,7324369,2025-03-27,ADANIPOWER
611.9,6804918,2025-03-27,ATGL
255.99,3491989,2025-03-27,AWL
236.78,190108,2025-03-27,ADFFOODS
643.65,197182,2025-03-27,ABSLAMC
185.21,4528452,2025-03-27,ABCAPITAL
256.27,3508095,2025-03-27,ABFRL
1879.35,440340,2025-03-27,ABREL
460.35,280135,2025-03-27,AVL
78.41,135593,2025-03-27,BSLGOLDETF
27.14,159335,2025-03-27,BSLNIFTY
837.45,33863,2025-03-27,ADORWELD
11.56,194104,2025-03-27,ADROITINFO
277.1,261244,2025-03-27,ADVENZYMES
57.13,117489,2025-03-27,ADVANIHOTR
902.6,3675681,2025-03-27,AEGISLOG
174.87,817926,2025-03-27,AEROFLEX
834.85,95962,2025-03-27,AETHER
477.95,1267473,2025-03-27,AFCONS
1655.7,318084,2025-03-27,AFFLE
386.6,63608,2025-03-27,AFFORDABLE
999.05,18337,2025-03-27,AGARIND
763.0,233209,2025-03-27,AGI
852.25,131895,2025-03-27,AGIIL
135.5,12719,2025-03-27,AGRITECH
28.17,58787,2025-03-27,AGROPHOS
785.6,55740,2025-03-27,ATFL
55.06,146931,2025-03-27,AHLADA
809.75,127312,2025-03-27,AHLUCONT
3356.3,28445,2025-03-27,AIAENG
53.57,282746,2025-03-27,GOLDTECH
27.17,262559,2025-03-27,AIRAN
89.67,22934,2025-03-27,AIROLAM
2629.55,161709,2025-03-27,AJANTPHARM
596.95,307628,2025-03-27,AJAXENGG
915.5,73432,2025-03-27,AJMERA
5.94,1059481,2025-03-27,AJOONI
25.43,29467,2025-03-27,AKASH
13.96,309091,2025-03-27,AKG
66.02,712300,2025-03-27,AFIL
7.49,1133545,2025-03-27,AKSHOPTFBR
203.75,19530,2025-03-27,AKSHARCHEM
460.25,1166011,2025-03-27,AKUMS
3717.45,102925,2025-03-27,AKZOINDIA
14.06,1225363,2025-03-27,ALANKIT
826.55,19365,2025-03-27,ALBERTDAVD
102.06,954942,2025-03-27,ALEMBICLTD
931.25,151982,2025-03-27,APLLTD
646.95,54097,2025-03-27,ALICON
1061.65,382033,2025-03-27,ALIVUS
78.55,25715,2025-03-27,ALKALI
4960.15,128003,2025-03-27,ALKEM
1673.55,77572,2025-03-27,ALKYLAMINE
54.96,1499268,2025-03-27,ACLGATI
29.66,5212943,2025-03-27,ALLCARGO
