ClsPric,TtlTradgVol,TradDt,TckrSymb
196.76,103124,2025-02-04,20MICRONS
392.0,154067,2025-02-04,AADHARHFC
43.65,78824,2025-02-04,ABAN
167.51,7057180,2025-02-04,ABCAPITAL
751.8,1007055,2025-02-04,ADANIENSOL
272.1,33868,2025-02-04,ADFFOODS
989.55,21291,2025-02-04,ADORWELD
507.3,8761,2025-02-04,AFFORDABLE
40.05,1282245,2025-02-04,ALLCARGO
655.55,25880,2025-02-04,AMRUTANJAN
128.46,6495344,2025-02-04,APOLLO
317.6,32125,2025-02-04,ARTEMISMED
60.96,292082,2025-02-04,ASIANTILES
18.06,28014,2025-02-04,ASTRON
31.98,2052884,2025-02-04,ATL
1684.1,13436,2025-02-04,AUTOAXLES
70.47,162540,2025-02-04,AXISGOLD
513.88,1194723,2025-02-04,BANKBEES
193.33,1585,2025-02-04,BBTCL
1529.35,227544,2025-02-04,BECTORFOOD
118.49,593947,2025-02-04,BEPL
526.2,1194818,2025-02-04,BSOFT
176.66,123838,2025-02-04,CGCL
83.45,2957831,2025-02-04,CPSEETF
269.2,15348,2025-02-04,CSLFINANCE
99.24,28532,2025-02-04,DCM
1077.2,30028,2025-02-04,DCMSHRIRAM
1115.6,482262,2025-02-04,DEEPAKFERT
190.96,22222,2025-02-04,EIFFL
166.92,1909625,2025-02-04,ENGINERSIN
232.55,902360,2025-02-04,EPL
46.2,41926,2025-02-04,FIBERWEB
2421.15,6812,2025-02-04,GALAXYSURF
1757.8,59646,2025-02-04,GANECOS
86.87,29494,2025-02-04,GEEKAYWIRE
310.3,577588,2025-02-04,GENUSPOWER
8490.75,16172,2025-02-04,GILLETTE
4724.35,80164,2025-02-04,GODFRYPHLP
10.12,53530,2025-02-04,GVPTECH
91.19,342933,2025-02-04,HDFCSILVER
430.45,236297,2025-02-04,HERITGFOOD
600.4,6410,2025-02-04,IFBAGRO
828.2,3055036,2025-02-04,INDHOTEL
540.25,2173783,2025-02-04,INDIANB
1281.7,40462,2025-02-04,INDIGOPNTS
168.01,32239416,2025-02-04,INOXWIND
192.04,10243253,2025-02-04,IRCON
9487.05,8651,2025-02-04,IWEL
133.86,311965,2025-02-04,JAIBALAJI
139.08,709616,2025-02-04,JAICORPLTD
733.75,259067,2025-02-04,JBMA
801.6,2771274,2025-02-04,JINDALSTEL
34.85,55644,2025-02-04,JISLDVREQS
502.6,120456,2025-02-04,JITFINFRA
436.25,273561,2025-02-04,JSFB
40.03,137804,2025-02-04,KCPSUGIND
639.95,432532,2025-02-04,KIMS
683.6,167673,2025-02-04,KSB
786.85,290992,2025-02-04,KSL
988.0,39687,2025-02-04,KSOLVES
1352.75,17336,2025-02-04,LGBBROSLTD
7627.25,4641,2025-02-04,LICMFGOLD
36.19,17132,2025-02-04,MAGNUM
135.37,22943,2025-02-04,MAKEINDIA
42.2,10426,2025-02-04,MALUPAPER
411.65,171054,2025-02-04,MAMATA
26.82,43716,2025-02-04,MANAKALUCO
61.15,207429,2025-02-04,MANALIPETC
153.47,16898,2025-02-04,MIDCAP
306.3,1826452,2025-02-04,MIDHANI
111.79,1170,2025-02-04,MODIRUBBER
36.32,4502,2025-02-04,MOLOWVOL
21.85,129162,2025-02-04,MONIFTY500
2805.45,550653,2025-02-04,MPHASIS
44.37,23435,2025-02-04,MURUDCERA
298.7,29221,2025-02-04,MUTHOOTCAP
120.6,391640,2025-02-04,NAVKARCORP
218.5,612985,2025-02-04,NCLIND
2121.0,105979,2025-02-04,NEOGEN
2299.45,1243517,2025-02-04,NESTLEIND
253.6,3659,2025-02-04,NETF
14622.65,20870,2025-02-04,NEULANDLAB
394.4,61533,2025-02-04,NITINSPIN
93.89,56911,2025-02-04,NRL
319.1,12141064,2025-02-04,NTPC
352.25,52449,2025-02-04,NUVOCO
14.9,440439,2025-02-04,NV20IETF
9.36,157288,2025-02-04,ORIENTALTL
143.56,3408,2025-02-04,PALASHSECU
459.35,3263,2025-02-04,PAVNAIND
14485.05,52400,2025-02-04,PGHH
22.13,2515732,2025-02-04,PHARMABEES
70.84,22824,2025-02-04,PLAZACABLE
436.05,44844,2025-02-04,PPL
306.55,171872,2025-02-04,PRECAM
1421.4,953776,2025-02-04,PRESTIGE
519.8,148222,2025-02-04,PRICOLLTD
629.5,38536,2025-02-04,PSPPROJECT
2569.94,478,2025-02-04,QNIFTY
66.59,83314,2025-02-04,RADIANTCMS
226.97,19821,2025-02-04,RAMAPHO
11.84,7338782,2025-02-04,RAMASTEEL
166.16,4547815,2025-02-04,RBLBANK
498.9,11126,2025-02-04,REPRO
1734.4,49777,2025-02-04,ROLEXRINGS
227.78,17725,2025-02-04,RUBYMILLS
120.11,16487,2025-02-04,RUCHIRA
1855.85,1148,2025-02-04,RVTH
32.57,60175,2025-02-04,SAGARDEEP
678.35,163811,2025-02-04,SAILIFE
20.3,78822,2025-02-04,SALSTEEL
1439.0,836,2025-02-04,SANDESH
285.2,12449,2025-02-04,SASTASUNDR
461.86,6028,2025-02-04,SBIETFIT
102.99,855,2025-02-04,SECMARK
27933.4,22726,2025-02-04,SHREECEM
38.76,65637,2025-02-04,SILGO
338.95,88656,2025-02-04,SIS
205.55,37475,2025-02-04,SMSPHARMA
519.5,11274,2025-02-04,SOMANYCERA
312.0,306184,2025-02-04,SPANDANA
2565.0,18558,2025-02-04,STYRENIX
414.5,186095,2025-02-04,SUPRAJIT
130.81,365157,2025-02-04,SUVEN
563.45,1344534,2025-02-04,SYRMA
6371.1,87790,2025-02-04,TATAELXSI
133.42,25032519,2025-02-04,TATASTEEL
4107.05,2547132,2025-02-04,TCS
1528.0,43476,2025-02-04,TEGA
879.85,868006,2025-02-04,TEJASNET
208.47,29593,2025-02-04,TREJHARA
88.42,153373,2025-02-04,UFO
17.24,713048,2025-02-04,VAISHALI
1787.4,21602,2025-02-04,VENKEYS
1085.6,186651,2025-02-04,VIJAYA
112.38,228111,2025-02-04,VINCOFE
124.16,3813,2025-02-04,WEIZMANIND
106.86,59439,2025-02-04,XCHANGING
1646.15,447086,2025-02-04,ZENTEC
414.35,65731,2025-02-04,AARTIDRUGS
26.41,2421,2025-02-04,ACEINTEG
506.35,2822180,2025-02-04,ADANIPOWER
1513.35,230220,2025-02-04,AFFLE
513.7,3229502,2025-02-04,AMBUJACEM
238.55,83469,2025-02-04,APEX
1437.6,867528,2025-02-04,APLAPOLLO
321.45,622350,2025-02-04,APTUS
