ClsPric,TtlTradgVol,TradDt,TckrSymb
193.31,327831,2025-01-30,20MICRONS
387.4,192714,2025-01-30,AADHARHFC
43.61,234088,2025-01-30,ABAN
177.18,2557549,2025-01-30,ABCAPITAL
740.25,1380777,2025-01-30,ADANIENSOL
264.95,365220,2025-01-30,ADFFOODS
977.45,14714,2025-01-30,ADORWELD
518.1,9616,2025-01-30,AFFORDABLE
41.74,1059513,2025-01-30,ALLCARGO
666.0,7656,2025-01-30,AMRUTANJAN
130.59,14610727,2025-01-30,APOLLO
306.0,66266,2025-01-30,ARTEMISMED
59.12,971054,2025-01-30,ASIANTILES
18.03,35128,2025-01-30,ASTRON
32.07,260230,2025-01-30,ATL
1716.05,3760,2025-01-30,AUTOAXLES
68.63,143623,2025-01-30,AXISGOLD
506.44,702819,2025-01-30,BANKBEES
195.27,3520,2025-01-30,BBTCL
1461.55,32972,2025-01-30,BECTORFOOD
118.13,584956,2025-01-30,BEPL
530.15,1030649,2025-01-30,BSOFT
176.59,375440,2025-01-30,CGCL
83.88,3241108,2025-01-30,CPSEETF
265.2,16934,2025-01-30,CSLFINANCE
100.11,14775,2025-01-30,DCM
1134.05,29657,2025-01-30,DCMSHRIRAM
1120.9,6284521,2025-01-30,DEEPAKFERT
190.32,13743,2025-01-30,EIFFL
166.85,2189369,2025-01-30,ENGINERSIN
216.05,360580,2025-01-30,EPL
45.83,45503,2025-01-30,FIBERWEB
2380.65,3269,2025-01-30,GALAXYSURF
1636.05,71942,2025-01-30,GANECOS
85.88,54770,2025-01-30,GEEKAYWIRE
316.3,505135,2025-01-30,GENUSPOWER
8686.2,12304,2025-01-30,GILLETTE
4494.8,22926,2025-01-30,GODFRYPHLP
10.3,53617,2025-01-30,GVPTECH
89.54,429825,2025-01-30,HDFCSILVER
422.55,229159,2025-01-30,HERITGFOOD
587.4,67567,2025-01-30,IFBAGRO
761.2,2728643,2025-01-30,INDHOTEL
545.85,3276234,2025-01-30,INDIANB
1256.0,33333,2025-01-30,INDIGOPNTS
161.84,32788362,2025-01-30,INOXWIND
202.7,12063956,2025-01-30,IRCON
8918.7,397,2025-01-30,IWEL
135.4,265601,2025-01-30,JAIBALAJI
129.75,732796,2025-01-30,JAICORPLTD
1507.25,1852278,2025-01-30,JBMA
840.05,1970355,2025-01-30,JINDALSTEL
