ClsPric,TtlTradgVol,TradDt,TckrSymb
207.62,304285,2025-03-06,20MICRONS
966.25,349340,2025-03-06,360ONE
24.33,626232,2025-03-06,3IINFOLTD
27904.9,5253,2025-03-06,3MINDIA
352.6,24949,2025-03-06,5PAISA
724.6,650471,2025-03-06,63MOONS
83.5,79312,2025-03-06,ABINFRA
81.38,26500,2025-03-06,AAATECH
400.85,497380,2025-03-06,AADHARHFC
8.54,105301,2025-03-06,AAKASH
39.89,24565,2025-03-06,AAREYDRUGS
347.95,6046,2025-03-06,AARON
369.15,114176,2025-03-06,AARTIDRUGS
410.9,1165670,2025-03-06,AARTIIND
746.95,337835,2025-03-06,AARTIPHARM
458.75,2654,2025-03-06,AARTISURF
104.42,15981,2025-03-06,AARVI
1706.0,268552,2025-03-06,AAVAS
5370.0,532908,2025-03-06,ABB
30983.15,15991,2025-03-06,ABBOTINDIA
48.98,1807,2025-03-06,ABMINTLLTD
1869.85,137956,2025-03-06,ACC
1323.35,11288,2025-03-06,ACCELYA
8.65,89173,2025-03-06,ACCURACY
24.24,11004,2025-03-06,ACEINTEG
202.84,1748801,2025-03-06,ACMESOLAR
1103.6,200009,2025-03-06,ACE
733.25,4897354,2025-03-06,ADANIENSOL
2252.85,890270,2025-03-06,ADANIENT
845.95,10166566,2025-03-06,ADANIGREEN
1136.2,4020627,2025-03-06,ADANIPORTS
503.15,3560829,2025-03-06,ADANIPOWER
595.9,1180803,2025-03-06,ATGL
258.63,1648512,2025-03-06,AWL
242.17,50081,2025-03-06,ADFFOODS
616.65,351053,2025-03-06,ABSLAMC
159.58,8191918,2025-03-06,ABCAPITAL
242.84,1394854,2025-03-06,ABFRL
1959.45,185508,2025-03-06,ABREL
455.85,46900,2025-03-06,AVL
76.36,28802,2025-03-06,BSLGOLDETF
25.93,191882,2025-03-06,BSLNIFTY
903.5,15330,2025-03-06,ADORWELD
17.05,44322,2025-03-06,ADROITINFO
282.55,334450,2025-03-06,ADVENZYMES
58.45,33522,2025-03-06,ADVANIHOTR
774.65,1265225,2025-03-06,AEGISLOG
171.44,991961,2025-03-06,AEROFLEX
905.7,146822,2025-03-06,AETHER
438.05,1307821,2025-03-06,AFCONS
1436.05,163324,2025-03-06,AFFLE
439.35,12642,2025-03-06,AFFORDABLE
1031.4,124573,2025-03-06,AGARIND
722.45,337204,2025-03-06,AGI
830.45,68558,2025-03-06,AGIIL
142.21,40808,2025-03-06,AGRITECH
30.21,42992,2025-03-06,AGROPHOS
829.5,30112,2025-03-06,ATFL
69.34,36574,2025-03-06,AHLADA
706.35,108768,2025-03-06,AHLUCONT
3177.4,38224,2025-03-06,AIAENG
61.88,57497,2025-03-06,GOLDTECH
28.18,166462,2025-03-06,AIRAN
99.93,6886,2025-03-06,AIROLAM
