ClsPric,TtlTradgVol,TradDt,TckrSymb
1097.65,849726,2025-01-10,UNOMINDA
1922.45,342073,2025-01-10,COROMANDEL
386.65,4967,2025-01-10,RANEENGINE
38.49,689572,2025-01-10,SADHNANIQ
94.25,6607907,2025-01-10,DHANI
49.79,1033433,2025-01-10,DWARKESH
486.05,436665,2025-01-10,GUJGASLTD
24.67,59777,2025-01-10,HDFCNIF100
1667.55,540349,2025-01-10,AAVAS
611.55,377556,2025-01-10,AWHCL
200.37,10554,2025-01-10,CONSOFINVT
259.25,1326035,2025-01-10,VPRPL
5111.45,21739,2025-01-10,BASF
221.25,10003146,2025-01-10,PPLPHARMA
256.01,1306835,2025-01-10,EXICOM
105.05,465903,2025-01-10,GEOJITFSL
489.45,10992,2025-01-10,HINDCOMPOS
1787.6,543447,2025-01-10,HYUNDAI
994.45,505861,2025-01-10,ZOTA
6415.65,259956,2025-01-10,ABB
3653.2,1023,2025-01-10,BANARISUG
121.55,59751,2025-01-10,SSDL
150.29,21683,2025-01-10,AHLEAST
1276.85,57203,2025-01-10,CARERATING
17.79,179612,2025-01-10,MOKSH
482.95,227504,2025-01-10,REFEX
243.08,19954,2025-01-10,SETF10GILT
116.48,329553,2025-01-10,FOCUS
36.66,121781,2025-01-10,BSE500IETF
48.27,146421,2025-01-10,TCLCONS
94.49,183057,2025-01-10,TPLPLASTEH
10.04,206348,2025-01-10,ACCURACY
1768.45,185411,2025-01-10,ALKYLAMINE
706.25,284438,2025-01-10,BIKAJI
554.9,1291287,2025-01-10,LICHSGFIN
130.88,2178965,2025-01-10,GARUDA
1051.1,241604,2025-01-10,GOKEX
171.74,57809,2025-01-10,GULPOLY
229.27,12062,2025-01-10,HITECHCORP
20.72,3575921,2025-01-10,SUBEXLTD
1055.45,36989,2025-01-10,SUNDRMFAST
618.25,466097,2025-01-10,AKUMS
1914.35,258233,2025-01-10,IKS
663.55,36921,2025-01-10,RUSTOMJEE
197.89,654734,2025-01-10,MON100
235.05,23968,2025-01-10,NAHARPOLY
62.98,5885374,2025-01-10,NETWORK18
917.7,965180,2025-01-10,JINDALSTEL
27.88,14606,2025-01-10,KHANDSE
38.99,55533,2025-01-10,GENCON
248.65,4184327,2025-01-10,GREAVESCOT
253.15,3981,2025-01-10,TAINWALCHM
741.9,36113,2025-01-10,WONDERLA
145.68,8774,2025-01-10,AXISHCETF
119.42,45569,2025-01-10,KRITINUT
43.86,1054694,2025-01-10,PAISALO
529.55,1267280,2025-01-10,SAREGAMA
1036.7,153328,2025-01-10,HOMEFIRST
674.5,760594,2025-01-10,TANLA
1189.4,52090,2025-01-10,BIRLACORPN
20.87,128426,2025-01-10,GENUSPAPER
166.43,904726,2025-01-10,GPPL
2794.5,34812,2025-01-10,TIIL
69.28,17620,2025-01-10,BSLGOLDETF
158.88,10096,2025-01-10,APCL
453.65,652051,2025-01-10,ASHAPURMIN
49.37,157290,2025-01-10,BASML
24.12,12783037,2025-01-10,JYOTISTRUC
127.43,34855510,2025-01-10,TATASTEEL
114.99,14933,2025-01-10,AXISCETF
1701.25,1467079,2025-01-10,BAJAJFINSV
300.2,63411,2025-01-10,LOKESHMACH
788.55,87569,2025-01-10,POCL
27.4,3394663,2025-01-10,ALPL30IETF
1539.15,402378,2025-01-10,UNITDSPR
885.15,2547175,2025-01-10,ANANTRAJ
192.24,5549670,2025-01-10,IRCON
908.5,80500,2025-01-10,KSCL
17.21,10168,2025-01-10,ORTINGLOBE
261.05,387339,2025-01-10,FLAIR
3278.5,57550,2025-01-10,BBL
732.8,626902,2025-01-10,JUBLINGREA
858.75,126012,2025-01-10,KRSNAA
359.4,65483,2025-01-10,PURVA
197.14,180848,2025-01-10,SSWL
235.17,88892,2025-01-10,VERANDA
374.3,111237,2025-01-10,VISHNU
1452.75,114394,2025-01-10,BHARTIHEXA
589.4,438778,2025-01-10,EMAMILTD
130.84,162696,2025-01-10,GPTINFRA
303.9,65819,2025-01-10,SHREEPUSHK
409.2,561078,2025-01-10,TRIVENI
23.8,511265,2025-01-10,INDOWIND
85.5,1978,2025-01-10,KHAITANLTD
583.7,2159660,2025-01-10,LAURUSLABS
101.99,204926,2025-01-10,GROWWLIQID
150.15,188649,2025-01-10,SATIN
945.15,64522,2025-01-10,DYCL
1267.04,9279,2025-01-10,EBBETF0425
120.97,5563,2025-01-10,TOKYOPLAST
223.14,92549,2025-01-10,BLAL
180.32,16739143,2025-01-10,MANAPPURAM
150.33,87112,2025-01-10,NDTV
98.32,221481,2025-01-10,RADHIKAJWE
395.8,208671,2025-01-10,SULA
1931.05,266316,2025-01-10,ACC
1112.2,1902237,2025-01-10,ADANIPORTS
2834.2,138816,2025-01-10,AJANTPHARM
44.43,2345532,2025-01-10,ALLCARGO
1010.28,811991,2025-01-10,LIQUIDBETF
56.64,24413,2025-01-10,BIOFILCHEM
354.7,11960,2025-01-10,KHADIM
583.85,308977,2025-01-10,KIRIINDUS
190.66,529441,2025-01-10,KROSS
79.35,50473,2025-01-10,DIVOPPBEES
41.14,13991,2025-01-10,DAMODARIND
1130.05,20923,2025-01-10,DENORA
41.21,54895,2025-01-10,DIGIDRIVE
1357.9,67882,2025-01-10,EMCURE
747.05,41422,2025-01-10,GMBREW
93.51,79048,2025-01-10,GEEKAYWIRE
246.39,1206,2025-01-10,NPBET
492.4,2425062,2025-01-10,INDIANB
66.21,1048213,2025-01-10,GOLD1
214.04,5289,2025-01-10,NITIRAJ
219.99,24949,2025-01-10,OCCL
2145.5,12875,2025-01-10,SASKEN
179.03,109188,2025-01-10,DCMSRIND
112.02,607936,2025-01-10,DOLATALGO
1254.5,13955,2025-01-10,EXCELINDUS
4000.5,1321248,2025-01-10,HAL
150.06,145219,2025-01-10,STCINDIA
1666.55,12165,2025-01-10,VEEDOL
1129.1,291345,2025-01-10,360ONE
1157.95,23029,2025-01-10,DODLA
251.55,1128612,2025-01-10,SURYAROSNI
1286.1,1858084,2025-01-10,MGL
12.02,126089,2025-01-10,RADIOCITY
396.5,18826,2025-01-10,SANGAMIND
31.84,1662401,2025-01-10,MOM30IETF
4265.65,7894300,2025-01-10,TCS
176.88,5479,2025-01-10,KAKATCEM
693.5,36550,2025-01-10,MONTECARLO
67.86,2997790,2025-01-10,PSUBNKBEES
1145.4,622596,2025-01-10,DEEPAKFERT
189.74,648494,2025-01-10,HINDOILEXP
606.15,68668,2025-01-10,SHANKARA
1255.05,2116766,2025-01-10,CHOLAFIN
670.4,83665,2025-01-10,INDIASHLTR
2418.75,196812,2025-01-10,DEEPAKNTR
1051.44,1295470,2025-01-10,LIQUIDADD
874.08,13294,2025-01-10,SENSEXIETF
109.94,838541,2025-01-10,SDBL
686.2,292893,2025-01-10,TIPSMUSIC
388.8,101633,2025-01-10,JSFB
118.08,2272949,2025-01-10,JMFINANCIL
505.05,130631,2025-01-10,KABRAEXTRU
124.91,60114,2025-01-10,KOKUYOCMLN
398.05,125772,2025-01-10,PRINCEPIPE
179.58,11987426,2025-01-10,GAIL
58.74,417,2025-01-10,GSEC5IETF
1252.9,610460,2025-01-10,SIGNATURE
88.84,133980,2025-01-10,SILVERETF
457.85,90729,2025-01-10,CIEINDIA
2448.55,7235,2025-01-10,LUMAXIND
992.0,79144,2025-01-10,NESCO
305.4,4814,2025-01-10,SAHYADRI
5382.65,3452,2025-01-10,ESABINDIA
1165.8,108605,2025-01-10,GALAPREC
10.87,45779,2025-01-10,GVPTECH
259.39,78158,2025-01-10,HDFCNIFTY
499.9,71279,2025-01-10,ARIHANTSUP
1615.9,4145892,2025-01-10,BHARTIARTL
1035.1,379055,2025-01-10,JUSTDIAL
233.41,120484,2025-01-10,IKIO
169.51,1082376,2025-01-10,HDFCSML250
122.62,547918,2025-01-10,ALEMBICLTD
67.48,880151,2025-01-10,ONMOBILE
