ClsPric,TtlTradgVol,TradDt,TckrSymb
173.53,112430,2025-02-13,20MICRONS
392.8,407013,2025-02-13,AADHARHFC
40.12,230161,2025-02-13,ABAN
159.25,3358637,2025-02-13,ABCAPITAL
744.0,1310157,2025-02-13,ADANIENSOL
251.15,76134,2025-02-13,ADFFOODS
905.75,29050,2025-02-13,ADORWELD
495.2,4435,2025-02-13,AFFORDABLE
36.1,3512111,2025-02-13,ALLCARGO
634.6,20734,2025-02-13,AMRUTANJAN
120.69,6173529,2025-02-13,APOLLO
275.1,305146,2025-02-13,ARTEMISMED
54.16,327234,2025-02-13,ASIANTILES
15.79,100119,2025-02-13,ASTRON
28.58,323174,2025-02-13,ATL
1722.3,4204,2025-02-13,AUTOAXLES
72.48,193164,2025-02-13,AXISGOLD
506.7,509834,2025-02-13,BANKBEES
190.39,992,2025-02-13,BBTCL
1407.9,45106,2025-02-13,BECTORFOOD
114.22,631570,2025-02-13,BEPL
505.85,1181553,2025-02-13,BSOFT
165.93,117441,2025-02-13,CGCL
78.77,1845414,2025-02-13,CPSEETF
274.7,59093,2025-02-13,CSLFINANCE
103.58,74704,2025-02-13,DCM
1062.55,25788,2025-02-13,DCMSHRIRAM
1068.1,402845,2025-02-13,DEEPAKFERT
192.47,22978,2025-02-13,EIFFL
165.01,4278324,2025-02-13,ENGINERSIN
247.71,1005692,2025-02-13,EPL
47.31,34587,2025-02-13,FIBERWEB
2308.85,11709,2025-02-13,GALAXYSURF
1557.35,61658,2025-02-13,GANECOS
78.15,43778,2025-02-13,GEEKAYWIRE
287.95,448616,2025-02-13,GENUSPOWER
7955.7,52583,2025-02-13,GILLETTE
4999.6,617541,2025-02-13,GODFRYPHLP
10.0,23112,2025-02-13,GVPTECH
93.02,251711,2025-02-13,HDFCSILVER
396.25,195639,2025-02-13,HERITGFOOD
521.5,2675,2025-02-13,IFBAGRO
736.75,1494372,2025-02-13,INDHOTEL
519.9,823716,2025-02-13,INDIANB
1105.0,90690,2025-02-13,INDIGOPNTS
176.2,6126439,2025-02-13,INOXWIND
167.34,8256727,2025-02-13,IRCON
9208.7,5090,2025-02-13,IWEL
147.65,3175171,2025-02-13,JAIBALAJI
122.28,407225,2025-02-13,JAICORPLTD
630.3,558968,2025-02-13,JBMA
840.5,1584072,2025-02-13,JINDALSTEL
32.59,18306,2025-02-13,JISLDVREQS
433.75,47389,2025-02-13,JITFINFRA
402.4,274357,2025-02-13,JSFB
36.22,129084,2025-02-13,KCPSUGIND
591.6,321183,2025-02-13,KIMS
610.0,131050,2025-02-13,KSB
796.0,45136,2025-02-13,KSL
465.35,45647,2025-02-13,KSOLVES
1269.85,6675,2025-02-13,LGBBROSLTD
7844.15,11661,2025-02-13,LICMFGOLD
32.19,36523,2025-02-13,MAGNUM
130.33,10189,2025-02-13,MAKEINDIA
39.83,12503,2025-02-13,MALUPAPER
406.3,331220,2025-02-13,MAMATA
25.11,12665,2025-02-13,MANAKALUCO
60.05,185486,2025-02-13,MANALIPETC
145.14,14752,2025-02-13,MIDCAP
285.1,256356,2025-02-13,MIDHANI
103.5,4636,2025-02-13,MODIRUBBER
35.37,64394,2025-02-13,MOLOWVOL
21.2,300520,2025-02-13,MONIFTY500
2601.95,559365,2025-02-13,MPHASIS
39.04,16413,2025-02-13,MURUDCERA
282.4,11057,2025-02-13,MUTHOOTCAP
116.48,373110,2025-02-13,NAVKARCORP
195.04,132544,2025-02-13,NCLIND
1940.25,18834,2025-02-13,NEOGEN
2177.55,511147,2025-02-13,NESTLEIND
248.03,644,2025-02-13,NETF
12766.65,45907,2025-02-13,NEULANDLAB
349.6,110684,2025-02-13,NITINSPIN
87.04,68075,2025-02-13,NRL
306.7,9086906,2025-02-13,NTPC
328.85,74943,2025-02-13,NUVOCO
14.31,787629,2025-02-13,NV20IETF
9.9,1008032,2025-02-13,ORIENTALTL
131.88,8856,2025-02-13,PALASHSECU
454.2,5091,2025-02-13,PAVNAIND
13919.6,7208,2025-02-13,PGHH
21.95,2004615,2025-02-13,PHARMABEES
66.21,30609,2025-02-13,PLAZACABLE
410.15,53543,2025-02-13,PPL
226.85,472860,2025-02-13,PRECAM
1237.9,2113080,2025-02-13,PRESTIGE
494.65,185146,2025-02-13,PRICOLLTD
617.0,158950,2025-02-13,PSPPROJECT
2494.03,417,2025-02-13,QNIFTY
62.06,241813,2025-02-13,RADIANTCMS
103.34,102711,2025-02-13,RAMAPHO
11.13,7228913,2025-02-13,RAMASTEEL
164.55,6777702,2025-02-13,RBLBANK
495.6,10498,2025-02-13,REPRO
1524.75,10335,2025-02-13,ROLEXRINGS
197.9,16685,2025-02-13,RUBYMILLS
124.65,634040,2025-02-13,RUCHIRA
1822.0,813,2025-02-13,RVTH
33.16,28425,2025-02-13,SAGARDEEP
679.85,162627,2025-02-13,SAILIFE
21.57,234702,2025-02-13,SALSTEEL
1403.15,388,2025-02-13,SANDESH
275.0,10636,2025-02-13,SASTASUNDR
446.51,15558,2025-02-13,SBIETFIT
99.56,628,2025-02-13,SECMARK
28225.0,22179,2025-02-13,SHREECEM
40.17,118980,2025-02-13,SILGO
314.55,39148,2025-02-13,SIS
204.93,175463,2025-02-13,SMSPHARMA
472.0,12529,2025-02-13,SOMANYCERA
309.1,342925,2025-02-13,SPANDANA
2525.6,29158,2025-02-13,STYRENIX
418.2,94452,2025-02-13,SUPRAJIT
124.37,303801,2025-02-13,SUVEN
466.75,741002,2025-02-13,SYRMA
6134.35,135495,2025-02-13,TATAELXSI
136.25,52036196,2025-02-13,TATASTEEL
3910.15,2277310,2025-02-13,TCS
1413.4,50267,2025-02-13,TEGA
827.85,616817,2025-02-13,TEJASNET
194.83,13998,2025-02-13,TREJHARA
81.61,47866,2025-02-13,UFO
15.78,726197,2025-02-13,VAISHALI
1714.1,44751,2025-02-13,VENKEYS
953.65,1407394,2025-02-13,VIJAYA
103.59,121804,2025-02-13,VINCOFE
119.55,2856,2025-02-13,WEIZMANIND
101.51,171550,2025-02-13,XCHANGING
1450.75,746202,2025-02-13,ZENTEC
382.9,315901,2025-02-13,AARTIDRUGS
23.99,14103,2025-02-13,ACEINTEG
498.15,3508204,2025-02-13,ADANIPOWER
1556.3,238898,2025-02-13,AFFLE
502.5,1036155,2025-02-13,AMBUJACEM
214.35,39655,2025-02-13,APEX
1374.2,479618,2025-02-13,APLAPOLLO
307.4,335910,2025-02-13,APTUS
331.7,236392,2025-02-13,ARVIND
641.4,89900,2025-02-13,ASAHIINDIA
432.4,358639,2025-02-13,ASHAPURMIN
28.12,581565,2025-02-13,ASHIMASYN
