ClsPric,TtlTradgVol,TradDt,TckrSymb
611.6,110518,2025-01-07,AKUMS
68.99,3080407,2025-01-07,NETWORK18
22.24,2296914,2025-01-07,SUBEXLTD
1057.2,22339,2025-01-07,SUNDRMFAST
1973.95,534478,2025-01-07,IKS
658.15,13805,2025-01-07,RUSTOMJEE
204.09,910157,2025-01-07,MON100
262.65,16702,2025-01-07,NAHARPOLY
1699.45,98439,2025-01-07,AAVAS
618.6,81105,2025-01-07,AWHCL
207.52,4055,2025-01-07,CONSOFINVT
5364.25,15412,2025-01-07,BASF
238.19,260386,2025-01-07,EXICOM
109.85,303974,2025-01-07,GEOJITFSL
534.55,4731,2025-01-07,HINDCOMPOS
1833.0,925887,2025-01-07,HYUNDAI
250.5,2470327,2025-01-07,PPLPHARMA
288.15,639848,2025-01-07,VPRPL
500.3,190478,2025-01-07,AVL
348.8,33591,2025-01-07,AVG
8060.9,7435,2025-01-07,DYNAMATECH
4048.7,8047,2025-01-07,INGERRAND
51.28,47966,2025-01-07,MIDSMALL
224.67,15979,2025-01-07,CHEMCON
328.6,13891401,2025-01-07,NTPC
147.74,70936,2025-01-07,SOUTHWEST
385.55,125871,2025-01-07,SRM
333.35,29054,2025-01-07,VLSFINANCE
775.4,676868,2025-01-07,IRCTC
129.41,13234,2025-01-07,INTENTECH
510.95,28187,2025-01-07,LIBERTSHOE
468.95,95443,2025-01-07,CIEINDIA
5608.2,5404,2025-01-07,ESABINDIA
1304.1,84743,2025-01-07,GALAPREC
11.31,94497,2025-01-07,GVPTECH
262.46,66599,2025-01-07,HDFCNIFTY
309.15,9830,2025-01-07,SAHYADRI
1352.65,534408,2025-01-07,SIGNATURE
88.0,146821,2025-01-07,SILVERETF
2485.95,5524,2025-01-07,LUMAXIND
1033.8,233049,2025-01-07,NESCO
186.06,14521936,2025-01-07,GAIL
58.83,2055,2025-01-07,GSEC5IETF
404.9,151566,2025-01-07,PRINCEPIPE
117.65,3719136,2025-01-07,SDBL
726.5,423845,2025-01-07,TIPSMUSIC
400.5,101029,2025-01-07,JSFB
124.39,2276492,2025-01-07,JMFINANCIL
558.6,87896,2025-01-07,KABRAEXTRU
126.83,77160,2025-01-07,KOKUYOCMLN
116.64,1580,2025-01-07,AXISCETF
1682.75,1242573,2025-01-07,BAJAJFINSV
27.46,510548,2025-01-07,ALPL30IETF
868.25,41518,2025-01-07,POCL
133.38,24239451,2025-01-07,TATASTEEL
324.5,41436,2025-01-07,LOKESHMACH
49.37,59190,2025-01-07,BVCL
2652.15,310336,2025-01-07,GODREJPROP
238.13,3337163,2025-01-07,HINDCOPPER
19.57,3535243,2025-01-07,SYNCOMF
2058.6,57811,2025-01-07,THANGAMAYL
61.6,74083,2025-01-07,IRISDOREME
109.63,71321,2025-01-07,CLEDUCATE
109.62,740363,2025-01-07,DELTACORP
360.7,21269,2025-01-07,DVL
956.8,179910,2025-01-07,RAMCOCEM
102.39,1134255,2025-01-07,MEGASOFT
1232.02,452,2025-01-07,BBETF0432
6.28,156200,2025-01-07,SADBHIN
1642.1,1370,2025-01-07,SANDESH
1276.0,1548819,2025-01-07,CHOLAFIN
2459.75,147824,2025-01-07,DEEPAKNTR
1050.52,1118736,2025-01-07,LIQUIDADD
882.81,12509,2025-01-07,SENSEXIETF
674.75,28404,2025-01-07,SHANKARA
685.55,98092,2025-01-07,INDIASHLTR
754.05,525300,2025-01-07,AWFIS
51.25,21144032,2025-01-07,MAHABANK
64.5,134906,2025-01-07,PSUBNKIETF
3492.85,30876,2025-01-07,ANUP
86.26,4636,2025-01-07,UTISXN50
34.39,3818,2025-01-07,AKASH
252.7,107167,2025-01-07,APEX
70.04,4757085,2025-01-07,EQUITASBNK
591.15,1694524,2025-01-07,ORIENTTECH
279.5,272,2025-01-07,SALONA
524.05,139968,2025-01-07,SUMICHEM
60.88,59115926,2025-01-07,SUZLON
1034.7,48815,2025-01-07,DYCL
148.97,175014,2025-01-07,SATIN
3144.0,81735,2025-01-07,CEATLTD
240.05,797613,2025-01-07,FINPIPE
257.65,8083,2025-01-07,SUKHJITS
42.04,90427,2025-01-07,GENCON
270.85,5645283,2025-01-07,GREAVESCOT
277.75,6361,2025-01-07,TAINWALCHM
768.0,104021,2025-01-07,WONDERLA
941.45,1057467,2025-01-07,JINDALSTEL
27.83,19171,2025-01-07,KHANDSE
3658.2,14309,2025-01-07,BBL
382.85,88715,2025-01-07,PURVA
836.5,478386,2025-01-07,JUBLINGREA
916.55,114104,2025-01-07,KRSNAA
10.32,203002,2025-01-07,ACCURACY
1735.65,25980,2025-01-07,ALKYLAMINE
725.8,427565,2025-01-07,BIKAJI
142.17,6420672,2025-01-07,GARUDA
1144.35,146581,2025-01-07,GOKEX
176.49,81819,2025-01-07,GULPOLY
245.03,12055,2025-01-07,HITECHCORP
100.92,210024,2025-01-07,TPLPLASTEH
585.15,1887588,2025-01-07,LICHSGFIN
165.54,7212,2025-01-07,AHLEAST
1373.6,29930,2025-01-07,CARERATING
127.39,80037,2025-01-07,FOCUS
37.58,46046,2025-01-07,BSE500IETF
488.9,299524,2025-01-07,REFEX
243.46,40628,2025-01-07,SETF10GILT
48.07,170847,2025-01-07,TCLCONS
20.24,301335,2025-01-07,MOKSH
696.9,381803,2025-01-07,DATAMATICS
114.45,35596,2025-01-07,DBOL
941.55,73154,2025-01-07,EMUDHRA
40.21,213794,2025-01-07,HMAAGRO
129.05,29234,2025-01-07,RUCHIRA
249.83,11024,2025-01-07,SBIETFPB
246.62,96877,2025-01-07,SMSPHARMA
60.13,552338,2025-01-07,VASWANI
6706.2,207775,2025-01-07,ABB
3678.95,257,2025-01-07,BANARISUG
125.03,44061,2025-01-07,SSDL
968.5,549253,2025-01-07,ZOTA
68.54,17757,2025-01-07,BSLGOLDETF
159.76,7923,2025-01-07,APCL
442.05,500691,2025-01-07,ASHAPURMIN
55.11,115933,2025-01-07,BASML
2906.45,9154,2025-01-07,TIIL
25.68,8225177,2025-01-07,JYOTISTRUC
268.6,1972747,2025-01-07,EPL
269.4,38162,2025-01-07,HUHTAMAKI
23.28,7402471,2025-01-07,SINDHUTRAD
128.12,33570,2025-01-07,KANPRPLA
8.58,225392,2025-01-07,METAL
57.8,34470089,2025-01-07,MSUMI
820.5,364934,2025-01-07,ABSLAMC
207.29,513139,2025-01-07,AEROFLEX
437.85,3282549,2025-01-07,PCBL
2924.4,116706,2025-01-07,TIMKEN
602.85,28796,2025-01-07,LANDMARK
47.25,89022,2025-01-07,MALUPAPER
405.35,1170873,2025-01-07,AARTIIND
6.88,1463338,2025-01-07,GANGAFORGE
311.05,510724,2025-01-07,PNCINFRA
196.63,689871,2025-01-07,SEQUENT
1605.2,399766,2025-01-07,WABAG
504.35,20670,2025-01-07,VRLLOG
781.55,1188943,2025-01-07,ADANIENSOL
11101.3,46066,2025-01-07,BAJAJHLDNG
20.42,211061,2025-01-07,CCHHL
5017.35,72864,2025-01-07,GRWRHITECH
952.0,257357,2025-01-07,THYROCARE
4345.1,1240,2025-01-07,VHL
88.12,3493,2025-01-07,WEWIN
126.62,12057,2025-01-07,ZODIACLOTH
25.14,5913162,2025-01-07,INFIBEAM
803.65,49488,2025-01-07,JKLAKSHMI
179.83,2965351,2025-01-07,ABCAPITAL
1128.8,16775,2025-01-07,ADORWELD
706.15,93287,2025-01-07,CCL
1441.83,6482,2025-01-07,EBBETF0430
882.15,437,2025-01-07,ELDEHSG
4025.65,497,2025-01-07,FOSECOIND
495.9,169607,2025-01-07,RAJRATAN
159.59,5411161,2025-01-07,SAMMAANCAP
732.95,957937,2025-01-07,SBICARD
178.75,458059,2025-01-07,WORTH
1127.1,1156942,2025-01-07,KEC
666.15,91446,2025-01-07,LUMAXTECH
202.47,11936,2025-01-07,BEDMUTHA
1222.7,3168224,2025-01-07,PVRINOX
226.09,8862,2025-01-07,SHIVATEX
372.35,2019,2025-01-07,SRGHFL
219.55,40572,2025-01-07,MANOMAY
11666.0,162658,2025-01-07,APARINDS
503.9,32796,2025-01-07,AVADHSUGAR
65.18,79735,2025-01-07,AXISGOLD
192.21,2924,2025-01-07,BBTCL
1872.95,40289,2025-01-07,PRIVISCL
9949.7,1726,2025-01-07,TASTYBITE
299.85,1268202,2025-01-07,MVGJL
187.24,7559,2025-01-07,MOQUALITY
272.9,5305088,2025-01-07,NCC
3897.35,47475,2025-01-07,ANANDRATHI
499.5,83300,2025-01-07,CHEMPLASTS
402.0,5676039,2025-01-07,DAMCAPITAL
60.07,1795677,2025-01-07,FILATEX
252.45,115216965,2025-01-07,ZOMATO
835.7,60367,2025-01-07,LINCOLN
85.49,342414,2025-01-07,MICEL
98.15,231167,2025-01-07,AHLADA
185.64,40958,2025-01-07,CGCL
116.58,344953,2025-01-07,HILTON
130.93,339333,2025-01-07,SURYODAY
165.61,435583,2025-01-07,UNIECOM
7.46,36023,2025-01-07,LYPSAGEMS
1330.4,108918,2025-01-07,NELCO
299.15,8305881,2025-01-07,JIOFIN
106.34,7845660,2025-01-07,LIQUIDCASE
1248.85,79591,2025-01-07,BRIGADE
1272.05,59825,2025-01-07,CARBORUNIV
405.5,53906,2025-01-07,STANLEY
164.88,130284,2025-01-07,INDOAMIN
143.58,37366245,2025-01-07,EMBDL
239.56,6897016,2025-01-07,HUDCO
1680.7,138656,2025-01-07,NEWGEN
18.09,486491,2025-01-07,SHANTI
2075.35,73329,2025-01-07,UBL
28.55,3649434,2025-01-07,MOTISONS
21.85,449463,2025-01-07,ALANKIT
756.65,122550,2025-01-07,GODREJAGRO
189.05,968384,2025-01-07,VLEGOV
7.71,1637649,2025-01-07,ZEELEARN
20.92,51257,2025-01-07,ASTRON
469.0,44248,2025-01-07,DOLLAR
1202.35,30297,2025-01-07,GMMPFAUDLR
101.21,108402,2025-01-07,OMAXE
2958.4,556342,2025-01-07,SHRIRAMFIN
6482.15,309990,2025-01-07,SIEMENS
25.52,11023977,2025-01-07,SOUTHBANK
85.8,110108,2025-01-07,MONQ50
1221.55,23396,2025-01-07,BIRLACORPN
21.29,118556,2025-01-07,GENUSPAPER
175.2,471720,2025-01-07,GPPL
699.15,7861148,2025-01-07,TANLA
428.05,39522,2025-01-07,BARBEQUE
205.45,264652,2025-01-07,BLSE
165.05,505479,2025-01-07,ESTER
390.4,40685,2025-01-07,GOCLCORP
8.08,333755,2025-01-07,PRAKASHSTL
171.5,5804246,2025-01-07,KELLTONTEC
167.34,85327,2025-01-07,MANCREDIT
17.72,249192,2025-01-07,MOSMALL250
1351.3,703099,2025-01-07,NH
309.4,311175,2025-01-07,CSBBANK
198.34,21200,2025-01-07,DCMNVL
21.1,174308,2025-01-07,HDFCMID150
53.87,15303034,2025-01-07,SAGILITY
389.8,12602,2025-01-07,STEL
2982.6,6408,2025-01-07,SUMMITSEC
861.0,37871,2025-01-07,JAIBALAJI
36.99,232480,2025-01-07,ATL
491.6,2409,2025-01-07,DIAMINESQ
175.59,14772,2025-01-07,ENIL
1062.75,218649,2025-01-07,MEDANTA
38.11,17839180,2025-01-07,HCC
2926.2,555628,2025-01-07,MPHASIS
56.56,8198,2025-01-07,HDFCQUAL
20.87,8836755,2025-01-07,SEPC
1871.7,11269,2025-01-07,SHARDAMOTR
1884.0,37166,2025-01-07,JCHAC
1066.1,489510,2025-01-07,PARAS
64.54,282978,2025-01-07,QGOLDHALF
239.7,237329,2025-01-07,RBZJEWEL
216.56,285919,2025-01-07,ZUARI
638.07,5250,2025-01-07,PSUBANK
3068.15,68817,2025-01-07,MASTEK
58.26,72423,2025-01-07,MASPTOP50
764.15,327111,2025-01-07,GENSOL
75.59,48666,2025-01-07,RADIANTCMS
82.91,1746910,2025-01-07,RBA
263.5,83910,2025-01-07,MASFIN
144.52,2204103,2025-01-07,MRPL
329.1,2120008,2025-01-07,AWL
48.2,17141,2025-01-07,AROGRANITE
15.29,360118,2025-01-07,HEALTHY
78.74,567621,2025-01-07,CUPID
724.15,250079,2025-01-07,HAPPSTMNDS
716.0,12693,2025-01-07,SILVERTUC
1978.3,8650,2025-01-07,THEJO
1157.05,280910,2025-01-07,AJMERA
1900.4,85888,2025-01-07,GANECOS
215.07,12084,2025-01-07,HISARMETAL
1879.8,80248,2025-01-07,ORCHPHARMA
104.35,810089,2025-01-07,SHRIRAMPPS
174.15,858716,2025-01-07,TARC
306.95,17881,2025-01-07,VALIANTORG
184.34,10088,2025-01-07,NATHBIOGEN
218.74,84955,2025-01-07,BHARATWIRE
109.52,30418,2025-01-07,DCM
339.55,40420,2025-01-07,GALLANTT
3592.85,417142,2025-01-07,PIIND
639.8,76481,2025-01-07,RAMKY
92.66,220864,2025-01-07,SATIA
135.27,163826,2025-01-07,SMCGLOBAL
51.31,39127,2025-01-07,UTIBANKETF
952.2,40674,2025-01-07,JINDALPOLY
164.44,11247,2025-01-07,MASTERTR
926.85,87285,2025-01-07,IMFA
71.27,103166,2025-01-07,UTINEXT50
464.15,24984,2025-01-07,5PAISA
304.35,56503,2025-01-07,BHAGCHEM
87.26,11824,2025-01-07,SILVERADD
17.95,1267742,2025-01-07,HLVLTD
31.75,83314,2025-01-07,PRAENG
123.16,374228,2025-01-07,SANSTAR
110.98,149895,2025-01-07,YATRA
415.6,67222,2025-01-07,TARSONS
46.09,16969,2025-01-07,INCREDIBLE
884.65,1292689,2025-01-07,ANANTRAJ
285.5,146792,2025-01-07,FLAIR
17.42,10385,2025-01-07,ORTINGLOBE
1626.3,542151,2025-01-07,UNITDSPR
207.73,2602160,2025-01-07,IRCON
940.55,165418,2025-01-07,KSCL
2738.55,72013,2025-01-07,BALKRISIND
96.97,18301,2025-01-07,BHARATGEAR
