ClsPric,TtlTradgVol,TradDt,TckrSymb
204.18,68420,2025-03-21,20MICRONS
942.75,4892340,2025-03-21,360ONE
87.25,1487,2025-03-21,GOLD360
22.92,1335523,2025-03-21,3IINFOLTD
28528.6,7877,2025-03-21,3MINDIA
352.3,56586,2025-03-21,5PAISA
786.7,132009,2025-03-21,63MOONS
95.65,90427,2025-03-21,ABINFRA
79.95,60110,2025-03-21,AAATECH
417.45,6158771,2025-03-21,AADHARHFC
8.78,117834,2025-03-21,AAKASH
38.22,33598,2025-03-21,AAREYDRUGS
341.6,11821,2025-03-21,AARON
357.9,193045,2025-03-21,AARTIDRUGS
407.25,1851839,2025-03-21,AARTIIND
761.1,1592489,2025-03-21,AARTIPHARM
445.45,31762,2025-03-21,AARTISURF
104.08,29341,2025-03-21,AARVI
1981.05,189226,2025-03-21,AAVAS
5457.5,685475,2025-03-21,ABB
30292.1,7752,2025-03-21,ABBOTINDIA
49.35,772,2025-03-21,ABMINTLLTD
1915.65,413622,2025-03-21,ACC
1322.15,13993,2025-03-21,ACCELYA
8.24,286286,2025-03-21,ACCURACY
22.63,12014,2025-03-21,ACEINTEG
202.26,829803,2025-03-21,ACMESOLAR
1250.85,196208,2025-03-21,ACE
831.7,2711820,2025-03-21,ADANIENSOL
2362.8,1101418,2025-03-21,ADANIENT
954.25,8147557,2025-03-21,ADANIGREEN
1188.8,3127446,2025-03-21,ADANIPORTS
522.1,7861834,2025-03-21,ADANIPOWER
630.7,1169489,2025-03-21,ATGL
265.25,2999650,2025-03-21,AWL
244.67,64666,2025-03-21,ADFFOODS
638.6,351796,2025-03-21,ABSLAMC
185.52,13679696,2025-03-21,ABCAPITAL
253.26,5750726,2025-03-21,ABFRL
2038.4,314341,2025-03-21,ABREL
437.1,52918,2025-03-21,AVL
78.38,226890,2025-03-21,BSLGOLDETF
26.88,249985,2025-03-21,BSLNIFTY
888.4,19984,2025-03-21,ADORWELD
13.05,233643,2025-03-21,ADROITINFO
291.55,186539,2025-03-21,ADVENZYMES
62.13,94293,2025-03-21,ADVANIHOTR
795.7,502753,2025-03-21,AEGISLOG
176.81,734655,2025-03-21,AEROFLEX
874.25,60689,2025-03-21,AETHER
485.45,1022255,2025-03-21,AFCONS
1541.65,171371,2025-03-21,AFFLE
411.7,28043,2025-03-21,AFFORDABLE
1062.15,17997,2025-03-21,AGARIND
741.65,355060,2025-03-21,AGI
931.1,130193,2025-03-21,AGIIL
146.18,26973,2025-03-21,AGRITECH
31.12,31161,2025-03-21,AGROPHOS
810.55,60238,2025-03-21,ATFL
64.07,52408,2025-03-21,AHLADA
819.0,90069,2025-03-21,AHLUCONT
3328.75,120784,2025-03-21,AIAENG
57.57,151478,2025-03-21,GOLDTECH
28.49,437960,2025-03-21,AIRAN
97.56,7375,2025-03-21,AIROLAM
2714.1,1064254,2025-03-21,AJANTPHARM
601.4,791319,2025-03-21,AJAXENGG
958.75,162203,2025-03-21,AJMERA
6.27,2705778,2025-03-21,AJOONI
25.88,51744,2025-03-21,AKASH
13.41,92366,2025-03-21,AKG
70.34,141672,2025-03-21,AFIL
221.52,8833,2025-03-21,AKSHARCHEM
500.45,996870,2025-03-21,AKUMS
