ClsPric,TtlTradgVol,TradDt,TckrSymb
190.16,139912,2025-02-06,20MICRONS
392.95,233553,2025-02-06,AADHARHFC
44.66,144992,2025-02-06,ABAN
169.19,1805857,2025-02-06,ABCAPITAL
773.15,1009247,2025-02-06,ADANIENSOL
270.7,69875,2025-02-06,ADFFOODS
979.35,6143,2025-02-06,ADORWELD
507.05,6845,2025-02-06,AFFORDABLE
40.16,2286940,2025-02-06,ALLCARGO
673.35,8249,2025-02-06,AMRUTANJAN
129.78,4869146,2025-02-06,APOLLO
290.7,192811,2025-02-06,ARTEMISMED
62.09,168445,2025-02-06,ASIANTILES
17.75,63287,2025-02-06,ASTRON
32.87,248011,2025-02-06,ATL
1750.05,6710,2025-02-06,AUTOAXLES
71.93,3399677,2025-02-06,AXISGOLD
516.99,588506,2025-02-06,BANKBEES
192.14,647,2025-02-06,BBTCL
1459.0,134785,2025-02-06,BECTORFOOD
119.01,315983,2025-02-06,BEPL
529.9,526116,2025-02-06,BSOFT
176.99,94884,2025-02-06,CGCL
82.94,1591560,2025-02-06,CPSEETF
295.2,38112,2025-02-06,CSLFINANCE
100.23,18583,2025-02-06,DCM
1076.7,48485,2025-02-06,DCMSHRIRAM
1166.9,634181,2025-02-06,DEEPAKFERT
191.03,19861,2025-02-06,EIFFL
167.89,994530,2025-02-06,ENGINERSIN
239.63,1079228,2025-02-06,EPL
47.85,48156,2025-02-06,FIBERWEB
2447.25,5047,2025-02-06,GALAXYSURF
1685.35,35039,2025-02-06,GANECOS
86.83,84710,2025-02-06,GEEKAYWIRE
320.05,279086,2025-02-06,GENUSPOWER
8905.7,24180,2025-02-06,GILLETTE
4599.45,72358,2025-02-06,GODFRYPHLP
10.38,29202,2025-02-06,GVPTECH
92.07,369626,2025-02-06,HDFCSILVER
430.2,164725,2025-02-06,HERITGFOOD
606.05,23640,2025-02-06,IFBAGRO
790.1,3240318,2025-02-06,INDHOTEL
547.9,1658355,2025-02-06,INDIANB
1274.75,35185,2025-02-06,INDIGOPNTS
170.45,5690495,2025-02-06,INOXWIND
191.12,4162084,2025-02-06,IRCON
9273.0,4441,2025-02-06,IWEL
155.47,871554,2025-02-06,JAIBALAJI
144.06,412480,2025-02-06,JAICORPLTD
723.75,161865,2025-02-06,JBMA
809.35,1073064,2025-02-06,JINDALSTEL
35.18,12892,2025-02-06,JISLDVREQS
502.2,38384,2025-02-06,JITFINFRA
460.8,335516,2025-02-06,JSFB
41.17,68445,2025-02-06,KCPSUGIND
654.1,430171,2025-02-06,KIMS
700.45,33440,2025-02-06,KSB
820.05,51702,2025-02-06,KSL
506.9,35764,2025-02-06,KSOLVES
1364.15,23942,2025-02-06,LGBBROSLTD
7818.55,4854,2025-02-06,LICMFGOLD
35.64,16838,2025-02-06,MAGNUM
135.26,13193,2025-02-06,MAKEINDIA
42.05,3325,2025-02-06,MALUPAPER
466.4,1922837,2025-02-06,MAMATA
28.12,48213,2025-02-06,MANAKALUCO
62.99,758123,2025-02-06,MANALIPETC
152.45,24017,2025-02-06,MIDCAP
306.6,243594,2025-02-06,MIDHANI
111.14,215,2025-02-06,MODIRUBBER
35.99,260936,2025-02-06,MOLOWVOL
21.97,412976,2025-02-06,MONIFTY500
2825.65,389617,2025-02-06,MPHASIS
40.69,85893,2025-02-06,MURUDCERA
288.75,37239,2025-02-06,MUTHOOTCAP
121.87,505942,2025-02-06,NAVKARCORP
217.84,117591,2025-02-06,NCLIND
2114.3,65431,2025-02-06,NEOGEN
2239.45,986957,2025-02-06,NESTLEIND
252.98,1086,2025-02-06,NETF
14484.45,20554,2025-02-06,NEULANDLAB
393.05,68184,2025-02-06,NITINSPIN
93.65,32763,2025-02-06,NRL
312.8,13384442,2025-02-06,NTPC
365.05,391280,2025-02-06,NUVOCO
14.83,329462,2025-02-06,NV20IETF
9.49,700878,2025-02-06,ORIENTALTL
145.84,8090,2025-02-06,PALASHSECU
508.65,83160,2025-02-06,PAVNAIND
14444.6,1211,2025-02-06,PGHH
22.48,2254547,2025-02-06,PHARMABEES
72.2,14616,2025-02-06,PLAZACABLE
451.9,52236,2025-02-06,PPL
297.3,198917,2025-02-06,PRECAM
1366.35,621465,2025-02-06,PRESTIGE
524.7,114411,2025-02-06,PRICOLLTD
631.6,23958,2025-02-06,PSPPROJECT
2560.06,256,2025-02-06,QNIFTY
66.29,49842,2025-02-06,RADIANTCMS
225.26,39296,2025-02-06,RAMAPHO
11.8,7146111,2025-02-06,RAMASTEEL
168.34,3853568,2025-02-06,RBLBANK
504.8,34298,2025-02-06,REPRO
1734.55,14200,2025-02-06,ROLEXRINGS
223.22,10064,2025-02-06,RUBYMILLS
120.62,11453,2025-02-06,RUCHIRA
1838.15,277,2025-02-06,RVTH
32.91,45743,2025-02-06,SAGARDEEP
740.8,1085179,2025-02-06,SAILIFE
20.57,60144,2025-02-06,SALSTEEL
1429.55,726,2025-02-06,SANDESH
280.75,25243,2025-02-06,SASTASUNDR
464.18,3114,2025-02-06,SBIETFIT
102.71,2879,2025-02-06,SECMARK
27822.55,14552,2025-02-06,SHREECEM
38.15,49045,2025-02-06,SILGO
345.3,131819,2025-02-06,SIS
216.16,137663,2025-02-06,SMSPHARMA
505.35,20226,2025-02-06,SOMANYCERA
348.55,1082919,2025-02-06,SPANDANA
2625.3,17870,2025-02-06,STYRENIX
424.65,68166,2025-02-06,SUPRAJIT
130.76,312865,2025-02-06,SUVEN
537.25,695812,2025-02-06,SYRMA
6421.9,82289,2025-02-06,TATAELXSI
132.54,22408168,2025-02-06,TATASTEEL
4082.75,2284536,2025-02-06,TCS
1606.25,152941,2025-02-06,TEGA
872.0,711673,2025-02-06,TEJASNET
213.3,12869,2025-02-06,TREJHARA
89.26,82127,2025-02-06,UFO
16.95,416545,2025-02-06,VAISHALI
1907.55,148487,2025-02-06,VENKEYS
1125.7,149519,2025-02-06,VIJAYA
112.34,134812,2025-02-06,VINCOFE
123.36,3108,2025-02-06,WEIZMANIND
107.06,63047,2025-02-06,XCHANGING
1640.85,253943,2025-02-06,ZENTEC
424.1,232458,2025-02-06,AARTIDRUGS
26.63,4863,2025-02-06,ACEINTEG
503.45,2388880,2025-02-06,ADANIPOWER
1650.4,507518,2025-02-06,AFFLE
514.15,745901,2025-02-06,AMBUJACEM
237.55,57610,2025-02-06,APEX
1420.6,317100,2025-02-06,APLAPOLLO
328.1,709660,2025-02-06,APTUS
359.7,315471,2025-02-06,ARVIND
668.0,48497,2025-02-06,ASAHIINDIA
513.25,212821,2025-02-06,ASHAPURMIN
33.11,1680175,2025-02-06,ASHIMASYN
438.95,111018,2025-02-06,ASKAUTOLTD
7599.0,19590,2025-02-06,ASTRAZEN
634.7,276724,2025-02-06,ATGL
1191.8,1115974,2025-02-06,AUROPHARMA
732.9,119433,2025-02-06,AVALON
479.75,103160,2025-02-06,AVL
113.82,2285,2025-02-06,AXISCETF
11424.4,74724,2025-02-06,BAJAJHLDNG
1225.16,254,2025-02-06,BBETF0432
445.2,7564915,2025-02-06,BLS
5567.55,1956398,2025-02-06,BSE
77.42,6420,2025-02-06,BSLSENETFG
44.26,9849,2025-02-06,BVCL
2177.05,87931,2025-02-06,CAPLIPOINT
702.95,26586,2025-02-06,CARYSIL
18.66,57936,2025-02-06,CCHHL
1328.05,2719181,2025-02-06,CDSL
13.63,127611,2025-02-06,CELEBRITY
548.95,15161,2025-02-06,CENTENKA
474.75,84355,2025-02-06,CIEINDIA
730.3,637524,2025-02-06,CONCOR
204.02,54050,2025-02-06,CROWN
1868.0,228834,2025-02-06,DALBHARAT
173.19,30487,2025-02-06,DCMSRIND
359.9,43587,2025-02-06,DREAMFOLKS
5342.0,361000,2025-02-06,EICHERMOT
434.15,439539,2025-02-06,EPACK
478.6,90646,2025-02-06,FDC
713.3,54719,2025-02-06,GENSOL
29.54,27469,2025-02-06,GINNIFILA
3.98,1769773,2025-02-06,GLOBE
1199.35,59467,2025-02-06,GMMPFAUDLR
341.25,27989,2025-02-06,GOCLCORP
9.37,429452,2025-02-06,GOYALALUM
168.24,64696,2025-02-06,GPTHEALTH
2052.25,134878,2025-02-06,GRAVITA
1199.95,116743,2025-02-06,GRINFRA
241.98,1229475,2025-02-06,GRMOVER
134.17,66072,2025-02-06,GSLSU
691.45,20099,2025-02-06,GUJALKALI
261.05,25790,2025-02-06,HDFCNIFTY
161.88,553113,2025-02-06,HDFCSML250
199.64,11499,2025-02-06,HEXATRADEX
132.44,309183,2025-02-06,HITECH
316.95,40265,2025-02-06,HLEGLAS
53.68,3673240,2025-02-06,IFCI
623.95,425371,2025-02-06,INDGN
4394.85,587111,2025-02-06,INDIGO
23.87,460340,2025-02-06,INDOWIND
814.6,216889,2025-02-06,INTELLECT
783.8,630878,2025-02-06,IRCTC
133.82,21889,2025-02-06,ISFT
46.12,529974,2025-02-06,IT
619.05,26410,2025-02-06,ITDC
44.13,8195,2025-02-06,ITETFADD
37.84,74172,2025-02-06,JAYNECOIND
19.24,144451,2025-02-06,JHS
250.48,16298230,2025-02-06,JIOFIN
347.55,949497,2025-02-06,JKPAPER
462.4,57036,2025-02-06,KABRAEXTRU
2.55,123294,2025-02-06,KANANIIND
4291.4,778331,2025-02-06,KAYNES
3921.15,172402,2025-02-06,KEI
147.39,785556,2025-02-06,KELLTONTEC
219.41,149255,2025-02-06,KESORAMIND
21.01,3088059,2025-02-06,LOWVOLIETF
111.05,18099,2025-02-06,MANGALAM
269.26,1343467,2025-02-06,MARKSANS
59.52,134023,2025-02-06,MASPTOP50
2775.05,126096,2025-02-06,MASTEK
98.19,92178,2025-02-06,MAWANASUG
8.38,200739,2025-02-06,METAL
1108.0,586441,2025-02-06,MFSL
1342.05,252596,2025-02-06,MGL
399.15,2954516,2025-02-06,MOBIKWIK
57.46,370107,2025-02-06,MOM100
202.4,344149,2025-02-06,MOSCHIP
93.53,120134,2025-02-06,MOVALUE
589.9,79736,2025-02-06,MSTCLTD
37.32,236466,2025-02-06,MUKKA
15.08,3283002,2025-02-06,MULTICAP
35.77,15409,2025-02-06,NAGREEKEXP
1072.25,466207,2025-02-06,NEWGEN
35.29,67973,2025-02-06,NEXT30ADD
173.82,3490938,2025-02-06,NYKAA
68.04,694748,2025-02-06,ONMOBILE
43991.2,120947,2025-02-06,PAGEIND
15.36,25562542,2025-02-06,PCJEWELLER
500.85,75090,2025-02-06,PDSL
6228.6,270778,2025-02-06,PERSISTENT
37.36,412908,2025-02-06,PFS
907.0,614108,2025-02-06,PNBHOUSING
563.5,179561,2025-02-06,PNGJL
715.65,17771938,2025-02-06,QUADFUTURE
654.15,272860,2025-02-06,QUESS
