ClsPric,TtlTradgVol,TradDt,TckrSymb
1871.95,150659,2025-01-17,IKS
624.85,9688,2025-01-17,RUSTOMJEE
204.8,563490,2025-01-17,MON100
244.35,7265,2025-01-17,NAHARPOLY
632.7,81850,2025-01-17,AKUMS
56.43,5253082,2025-01-17,NETWORK18
20.35,2786493,2025-01-17,SUBEXLTD
1063.15,33804,2025-01-17,SUNDRMFAST
4990.0,15047,2025-01-17,BASF
248.78,723369,2025-01-17,EXICOM
104.04,371247,2025-01-17,GEOJITFSL
506.1,7065,2025-01-17,HINDCOMPOS
1789.1,2441970,2025-01-17,HYUNDAI
230.7,1840302,2025-01-17,PPLPHARMA
262.05,474858,2025-01-17,VPRPL
49.18,22272,2025-01-17,INCREDIBLE
399.55,17990,2025-01-17,TARSONS
1638.25,130662,2025-01-17,AAVAS
608.45,59624,2025-01-17,AWHCL
197.15,2486,2025-01-17,CONSOFINVT
1054.75,52937,2025-01-17,KAJARIACER
43.11,33572,2025-01-17,MOHEALTH
397.25,2300423,2025-01-17,AADHARHFC
642.9,12415,2025-01-17,GOACARBON
46097.55,22562,2025-01-17,PAGEIND
169.72,7364019,2025-01-17,RCF
253.15,148726,2025-01-17,NIFTY1
319.3,85998,2025-01-17,ARTEMISMED
361.45,87469,2025-01-17,ASIANENE
186.36,751,2025-01-17,PANSARI
23.84,1457639,2025-01-17,SURANAT&P
1344.55,1038,2025-01-17,TTKHLTCARE
233.25,247,2025-01-17,ZENITHEXPO
103.3,5250364,2025-01-17,JTLIND
12136.35,285370,2025-01-17,MARUTI
104.73,22761,2025-01-17,ALKALI
564.2,4637,2025-01-17,CHEMBOND
14.71,819748,2025-01-17,NV20IETF
42.52,267929,2025-01-17,PENINLAND
649.35,108772,2025-01-17,SUNTV
445.3,59953,2025-01-17,TMB
29.02,708139,2025-01-17,UDAICEMENT
202.64,4944,2025-01-17,VSTL
252.25,137910,2025-01-17,WALCHANNAG
180.0,14196,2025-01-17,NATHBIOGEN
997.4,49768,2025-01-17,AJMERA
1750.55,42622,2025-01-17,GANECOS
212.84,8325,2025-01-17,HISARMETAL
1628.05,61997,2025-01-17,ORCHPHARMA
99.02,419329,2025-01-17,SHRIRAMPPS
149.96,415248,2025-01-17,TARC
313.65,16082,2025-01-17,VALIANTORG
1971.0,2258,2025-01-17,KMEW
100.14,7894,2025-01-17,AAATECH
541.7,3644,2025-01-17,GREENLAM
57.02,13076,2025-01-17,OBCL
25315.45,21618,2025-01-17,SHREECEM
78.1,665,2025-01-17,BBNPPGOLD
234.62,1395,2025-01-17,NIFTYBETF
538.55,237107,2025-01-17,PRICOLLTD
187.17,24060,2025-01-17,PYRAMID
331.4,45932,2025-01-17,VINYLINDIA
225.91,64017,2025-01-17,20MICRONS
27929.7,15194,2025-01-17,ABBOTINDIA
3501.5,24593,2025-01-17,AIAENG
321.95,11009,2025-01-17,DPWIRES
738.95,22869,2025-01-17,GUJALKALI
10.04,147431,2025-01-17,ORIENTALTL
1291.95,56236,2025-01-17,RRKABEL
58.01,9153,2025-01-17,SPLIL
1660.3,2502285,2025-01-17,TECHM
813.35,2381426,2025-01-17,INDHOTEL
753.45,947745,2025-01-17,KRN
205.54,11588593,2025-01-17,NATIONALUM
2281.05,167575,2025-01-17,DATAPATTNS
716.75,5784,2025-01-17,GANDHITUBE
1293.85,29186,2025-01-17,HIRECT
69.81,9119,2025-01-17,RELIABLE
96.77,14792,2025-01-17,SHIVAMILLS
68.62,6402,2025-01-17,TARMAT
297.75,6616,2025-01-17,VENUSREM
109.84,21152139,2025-01-17,VMM
413.85,46941,2025-01-17,MAHLIFE
48.93,17057,2025-01-17,BANKBETF
673.7,155151,2025-01-17,CELLO
177.86,37662,2025-01-17,CORDSCABLE
520.45,37298,2025-01-17,DLINKINDIA
1031.8,273081,2025-01-17,PEL
11.61,104294,2025-01-17,RUCHINFRA
1540.5,2603818,2025-01-17,SBILIFE
479.5,720313,2025-01-17,SKIPPER
112.68,161110,2025-01-17,JAYSREETEA
472.55,216912,2025-01-17,KPEL
703.2,741222,2025-01-17,GHCL
104.79,78947,2025-01-17,SINCLAIR
112.41,59212,2025-01-17,TRIGYN
779.2,1489997,2025-01-17,IRCTC
114.25,17428,2025-01-17,INTENTECH
470.8,5596,2025-01-17,LIBERTSHOE
221.61,17438,2025-01-17,CHEMCON
326.15,7129232,2025-01-17,NTPC
139.83,34956,2025-01-17,SOUTHWEST
303.85,29277,2025-01-17,VLSFINANCE
154.64,83437,2025-01-17,INDOAMIN
1133.1,81095,2025-01-17,BRIGADE
1222.5,82851,2025-01-17,CARBORUNIV
373.55,73653,2025-01-17,STANLEY
389.8,178874,2025-01-17,JSFB
117.27,1499072,2025-01-17,JMFINANCIL
467.6,60777,2025-01-17,KABRAEXTRU
126.11,21422,2025-01-17,KOKUYOCMLN
180.95,5519645,2025-01-17,GAIL
58.83,1122,2025-01-17,GSEC5IETF
398.4,102840,2025-01-17,PRINCEPIPE
108.32,323893,2025-01-17,SDBL
689.75,239396,2025-01-17,TIPSMUSIC
660.15,94168,2025-01-17,INDIASHLTR
1257.4,1594817,2025-01-17,CHOLAFIN
2358.75,83299,2025-01-17,DEEPAKNTR
1052.67,896796,2025-01-17,LIQUIDADD
866.27,4961,2025-01-17,SENSEXIETF
628.1,15455,2025-01-17,SHANKARA
5373.95,524096,2025-01-17,LTTS
1962.85,82500,2025-01-17,MAZDA
1691.0,92545,2025-01-17,MTARTECH
1033.86,5131,2025-01-17,LIQUIDSHRI
121.66,594633,2025-01-17,TEXINFRA
8641.55,307805,2025-01-17,COFORGE
338.2,293493,2025-01-17,GOPAL
242.33,50,2025-01-17,NIRAJISPAT
233.27,180332,2025-01-17,NOCIL
30.9,164390,2025-01-17,NECCLTD
1855.8,557429,2025-01-17,PATANJALI
155.1,23341,2025-01-17,SMLT
36.19,6753,2025-01-17,WILLAMAGOR
400.8,327316,2025-01-17,JINDWORLD
854.9,772593,2025-01-17,LICI
913.4,299470,2025-01-17,JUSTDIAL
521.8,105164,2025-01-17,ARIHANTSUP
1627.5,2678801,2025-01-17,BHARTIARTL
2313.1,4095,2025-01-17,LUMAXIND
474.7,102109,2025-01-17,CIEINDIA
5230.1,1309,2025-01-17,ESABINDIA
1109.15,67929,2025-01-17,GALAPREC
10.9,80470,2025-01-17,GVPTECH
257.12,278791,2025-01-17,HDFCNIFTY
1004.5,34825,2025-01-17,NESCO
301.5,7239,2025-01-17,SAHYADRI
1128.55,570010,2025-01-17,SIGNATURE
89.07,69388,2025-01-17,SILVERETF
364.95,46243,2025-01-17,MAHLOG
249.32,46921,2025-01-17,AYMSYNTEX
76.89,655960,2025-01-17,PARACABLES
861.5,773294,2025-01-17,PGEL
1301.6,27289,2025-01-17,ROUTE
821.1,32099,2025-01-17,SELAN
1632.6,13413,2025-01-17,SUYOG
272.62,69124,2025-01-17,MBAPL
2261.0,878871,2025-01-17,ASIANPAINT
687.8,28104,2025-01-17,EVERESTIND
967.7,227223,2025-01-17,KEC
564.75,122650,2025-01-17,LUMAXTECH
177.18,1632162,2025-01-17,ABCAPITAL
1114.3,6356,2025-01-17,ADORWELD
636.55,190002,2025-01-17,CCL
1443.49,3880,2025-01-17,EBBETF0430
838.0,56,2025-01-17,ELDEHSG
3936.85,497,2025-01-17,FOSECOIND
492.45,33844,2025-01-17,RAJRATAN
159.17,7723327,2025-01-17,SAMMAANCAP
740.85,1588789,2025-01-17,SBICARD
159.62,31871,2025-01-17,WORTH
172.59,467030,2025-01-17,MANGCHEFER
729.85,6920,2025-01-17,CONTROLPR
251.44,18640,2025-01-17,NIF100BEES
16574.9,16359,2025-01-17,PTCIL
78.69,32589,2025-01-17,RUBFILA
361.45,123658,2025-01-17,JGCHEM
1371.1,5373,2025-01-17,MACPOWER
466.1,212142,2025-01-17,MMFL
282.15,12741720,2025-01-17,BEL
255.1,78921,2025-01-17,HINDWAREAP
258.25,624123,2025-01-17,NIFTYIETF
1047.8,738627,2025-01-17,SHAKTIPUMP
81.09,57033,2025-01-17,INTLCONV
129.74,3403,2025-01-17,AARVI
125.15,3475,2025-01-17,AIROLAM
28.62,55693,2025-01-17,DIGISPICE
1679.2,117007,2025-01-17,GLAND
80.4,15592475,2025-01-17,NHPC
408.95,293909,2025-01-17,NURECA
474.8,1688995,2025-01-17,OIL
409.3,84802,2025-01-17,REPCOHOME
426.85,160161,2025-01-17,SARDAEN
593.5,2545132,2025-01-17,TRANSRAILL
1843.05,5999,2025-01-17,VINDHYATEL
908.6,911260,2025-01-17,JSWSTEEL
542.2,38348,2025-01-17,KKCL
848.05,107712,2025-01-17,EIDPARRY
2375.85,443089,2025-01-17,GRASIM
1225.45,9790533,2025-01-17,ICICIBANK
149.59,267438,2025-01-17,OMINFRAL
221.23,2776,2025-01-17,SHREYANIND
102.85,48512,2025-01-17,UMAEXPORTS
850.15,24703,2025-01-17,JINDALPOLY
148.15,15542,2025-01-17,MASTERTR
196.3,60697,2025-01-17,BHARATWIRE
108.04,69818,2025-01-17,DCM
319.85,19233,2025-01-17,GALLANTT
3550.9,187757,2025-01-17,PIIND
577.1,32024,2025-01-17,RAMKY
93.45,103705,2025-01-17,SATIA
127.49,45585,2025-01-17,SMCGLOBAL
49.61,6624786,2025-01-17,UTIBANKETF
27.87,24211,2025-01-17,MNC
144.71,641890,2025-01-17,IXIGO
78.9,128410,2025-01-17,GROWWGOLD
1394.1,30991,2025-01-17,HGINFRA
358.9,3122954,2025-01-17,HINDPETRO
13651.0,25567,2025-01-17,NEULANDLAB
157.49,673687,2025-01-17,RAIN
5.85,1415904,2025-01-17,DAVANGERE
796.15,35043,2025-01-17,GLOBUSSPR
1000.01,5202,2025-01-17,LIQUIDSBI
217.7,104598,2025-01-17,JAGSNPHARM
282.0,11275,2025-01-17,JAYAGROGN
736.45,48238,2025-01-17,JINDRILL
10.24,389748,2025-01-17,AAKASH
44.43,13714,2025-01-17,TECH
1815.45,16409953,2025-01-17,INFY
44.95,272298,2025-01-17,KCPSUGIND
574.55,49361,2025-01-17,MAXESTATES
4958.1,8842,2025-01-17,PFIZER
2127.7,11515,2025-01-17,STYLAMIND
122.66,187370,2025-01-17,SBGLP
687.0,271409,2025-01-17,VENTIVE
444.35,22124,2025-01-17,ZODIAC
781.65,5075,2025-01-17,JPOLYINVST
300.95,16842,2025-01-17,MUTHOOTCAP
20.0,8282310,2025-01-17,ALOKINDS
649.95,42991,2025-01-17,ASAHIINDIA
303.0,18326,2025-01-17,CAPITALSFB
161.61,281824,2025-01-17,DHAMPURSUG
176.7,58000,2025-01-17,ELIN
442.6,48868,2025-01-17,RSYSTEMS
1404.55,256303,2025-01-17,WOCKPHARMA
20.85,460235,2025-01-17,NARMADA
