ClsPric,TtlTradgVol,TradDt,TckrSymb
176.94,207422,2025-02-10,20MICRONS
384.3,446934,2025-02-10,AADHARHFC
42.55,87136,2025-02-10,ABAN
167.21,3204828,2025-02-10,ABCAPITAL
741.7,1132859,2025-02-10,ADANIENSOL
259.0,57916,2025-02-10,ADFFOODS
936.95,55402,2025-02-10,ADORWELD
507.6,34026,2025-02-10,AFFORDABLE
39.24,1812468,2025-02-10,ALLCARGO
656.15,9780,2025-02-10,AMRUTANJAN
125.0,4568335,2025-02-10,APOLLO
273.3,169914,2025-02-10,ARTEMISMED
58.98,229933,2025-02-10,ASIANTILES
17.17,30625,2025-02-10,ASTRON
31.4,196018,2025-02-10,ATL
1841.4,18280,2025-02-10,AUTOAXLES
73.14,474085,2025-02-10,AXISGOLD
513.33,317104,2025-02-10,BANKBEES
187.28,2814,2025-02-10,BBTCL
1424.2,64399,2025-02-10,BECTORFOOD
114.51,322481,2025-02-10,BEPL
526.4,760403,2025-02-10,BSOFT
176.74,249763,2025-02-10,CGCL
80.63,3411940,2025-02-10,CPSEETF
272.7,12161,2025-02-10,CSLFINANCE
100.02,22453,2025-02-10,DCM
1062.75,26994,2025-02-10,DCMSHRIRAM
1129.45,585166,2025-02-10,DEEPAKFERT
194.96,40473,2025-02-10,EIFFL
169.51,8389465,2025-02-10,ENGINERSIN
246.06,1449505,2025-02-10,EPL
44.9,38121,2025-02-10,FIBERWEB
2431.05,8842,2025-02-10,GALAXYSURF
1664.6,58278,2025-02-10,GANECOS
82.34,49757,2025-02-10,GEEKAYWIRE
305.95,491387,2025-02-10,GENUSPOWER
8852.9,23417,2025-02-10,GILLETTE
5580.95,930152,2025-02-10,GODFRYPHLP
10.22,9583,2025-02-10,GVPTECH
93.03,339956,2025-02-10,HDFCSILVER
411.8,253244,2025-02-10,HERITGFOOD
554.65,7479,2025-02-10,IFBAGRO
776.7,1595160,2025-02-10,INDHOTEL
524.5,621353,2025-02-10,INDIANB
1241.4,91786,2025-02-10,INDIGOPNTS
168.73,5904317,2025-02-10,INOXWIND
188.87,4591635,2025-02-10,IRCON
9118.7,5662,2025-02-10,IWEL
155.12,334052,2025-02-10,JAIBALAJI
135.25,486229,2025-02-10,JAICORPLTD
683.3,282599,2025-02-10,JBMA
840.6,1744941,2025-02-10,JINDALSTEL
34.2,14840,2025-02-10,JISLDVREQS
466.7,61509,2025-02-10,JITFINFRA
449.65,256829,2025-02-10,JSFB
39.13,140124,2025-02-10,KCPSUGIND
612.55,307763,2025-02-10,KIMS
673.75,39454,2025-02-10,KSB
810.6,32785,2025-02-10,KSL
475.85,31101,2025-02-10,KSOLVES
1286.6,31675,2025-02-10,LGBBROSLTD
7885.3,2736,2025-02-10,LICMFGOLD
36.0,41121,2025-02-10,MAGNUM
133.54,31293,2025-02-10,MAKEINDIA
39.15,8468,2025-02-10,MALUPAPER
427.1,326122,2025-02-10,MAMATA
26.9,22175,2025-02-10,MANAKALUCO
60.58,1480096,2025-02-10,MANALIPETC
149.82,42413,2025-02-10,MIDCAP
299.85,268665,2025-02-10,MIDHANI
109.22,1491,2025-02-10,MODIRUBBER
35.84,3450,2025-02-10,MOLOWVOL
21.69,334328,2025-02-10,MONIFTY500
2786.95,359767,2025-02-10,MPHASIS
41.42,41723,2025-02-10,MURUDCERA
289.15,13631,2025-02-10,MUTHOOTCAP
118.75,298205,2025-02-10,NAVKARCORP
209.54,68104,2025-02-10,NCLIND
2043.7,10941,2025-02-10,NEOGEN
2221.05,760181,2025-02-10,NESTLEIND
250.14,1134,2025-02-10,NETF
14673.3,28772,2025-02-10,NEULANDLAB
376.65,41126,2025-02-10,NITINSPIN
94.82,74297,2025-02-10,NRL
310.5,6806132,2025-02-10,NTPC
347.9,43522,2025-02-10,NUVOCO
14.61,546380,2025-02-10,NV20IETF
10.59,1721075,2025-02-10,ORIENTALTL
138.79,6177,2025-02-10,PALASHSECU
482.7,5452,2025-02-10,PAVNAIND
14151.45,3512,2025-02-10,PGHH
22.15,1839013,2025-02-10,PHARMABEES
70.14,15170,2025-02-10,PLAZACABLE
431.4,59894,2025-02-10,PPL
260.05,468406,2025-02-10,PRECAM
1324.85,525607,2025-02-10,PRESTIGE
499.25,128486,2025-02-10,PRICOLLTD
622.4,80056,2025-02-10,PSPPROJECT
2535.33,1462,2025-02-10,QNIFTY
65.42,94628,2025-02-10,RADIANTCMS
103.89,39497,2025-02-10,RAMAPHO
11.61,4210860,2025-02-10,RAMASTEEL
168.23,3672417,2025-02-10,RBLBANK
506.3,7975,2025-02-10,REPRO
1666.3,5482,2025-02-10,ROLEXRINGS
212.21,8864,2025-02-10,RUBYMILLS
118.64,11684,2025-02-10,RUCHIRA
1782.1,422,2025-02-10,RVTH
35.86,144965,2025-02-10,SAGARDEEP
717.35,362315,2025-02-10,SAILIFE
22.51,311089,2025-02-10,SALSTEEL
1433.95,221,2025-02-10,SANDESH
286.0,30853,2025-02-10,SASTASUNDR
460.37,1730,2025-02-10,SBIETFIT
101.49,1649,2025-02-10,SECMARK
28044.05,13510,2025-02-10,SHREECEM
38.86,146510,2025-02-10,SILGO
336.95,34027,2025-02-10,SIS
210.98,72337,2025-02-10,SMSPHARMA
501.85,30401,2025-02-10,SOMANYCERA
339.05,306406,2025-02-10,SPANDANA
2593.75,22294,2025-02-10,STYRENIX
420.1,38422,2025-02-10,SUPRAJIT
129.82,231466,2025-02-10,SUVEN
516.65,519585,2025-02-10,SYRMA
6377.4,60322,2025-02-10,TATAELXSI
134.04,26120805,2025-02-10,TATASTEEL
4036.95,1339511,2025-02-10,TCS
1518.45,67822,2025-02-10,TEGA
857.4,509831,2025-02-10,TEJASNET
214.28,3978,2025-02-10,TREJHARA
85.42,45046,2025-02-10,UFO
15.86,244737,2025-02-10,VAISHALI
1765.4,69615,2025-02-10,VENKEYS
1097.95,171387,2025-02-10,VIJAYA
110.24,225045,2025-02-10,VINCOFE
123.47,1217,2025-02-10,WEIZMANIND
103.9,98324,2025-02-10,XCHANGING
1616.95,419417,2025-02-10,ZENTEC
405.05,47432,2025-02-10,AARTIDRUGS
25.95,20107,2025-02-10,ACEINTEG
491.4,2635512,2025-02-10,ADANIPOWER
1644.4,447004,2025-02-10,AFFLE
506.75,2018861,2025-02-10,AMBUJACEM
231.05,41482,2025-02-10,APEX
1406.6,380525,2025-02-10,APLAPOLLO
321.5,782938,2025-02-10,APTUS
347.55,379802,2025-02-10,ARVIND
664.9,103632,2025-02-10,ASAHIINDIA
479.15,213073,2025-02-10,ASHAPURMIN
30.72,296591,2025-02-10,ASHIMASYN
434.5,121769,2025-02-10,ASKAUTOLTD
7547.0,11870,2025-02-10,ASTRAZEN
608.55,706920,2025-02-10,ATGL
1177.15,567422,2025-02-10,AUROPHARMA
677.6,179219,2025-02-10,AVALON
454.15,461554,2025-02-10,AVL
113.33,2966,2025-02-10,AXISCETF
11523.2,84954,2025-02-10,BAJAJHLDNG
1226.99,3070,2025-02-10,BBETF0432
423.95,1867478,2025-02-10,BLS
5629.6,1375894,2025-02-10,BSE
76.48,1089,2025-02-10,BSLSENETFG
42.98,11670,2025-02-10,BVCL
2120.05,189147,2025-02-10,CAPLIPOINT
707.45,60639,2025-02-10,CARYSIL
17.87,49787,2025-02-10,CCHHL
1297.6,2062278,2025-02-10,CDSL
13.59,57339,2025-02-10,CELEBRITY
