ClsPric,TtlTradgVol,TradDt,TckrSymb
193.69,123412,2025-01-29,20MICRONS
397.45,558659,2025-01-29,AADHARHFC
41.55,105108,2025-01-29,ABAN
176.54,3352447,2025-01-29,ABCAPITAL
744.7,1398816,2025-01-29,ADANIENSOL
265.25,105005,2025-01-29,ADFFOODS
997.4,44607,2025-01-29,ADORWELD
524.9,10665,2025-01-29,AFFORDABLE
41.74,1457957,2025-01-29,ALLCARGO
673.95,12062,2025-01-29,AMRUTANJAN
124.53,5360881,2025-01-29,APOLLO
308.35,165284,2025-01-29,ARTEMISMED
60.35,449872,2025-01-29,ASIANTILES
17.59,32148,2025-01-29,ASTRON
31.94,358463,2025-01-29,ATL
1717.0,2840,2025-01-29,AUTOAXLES
68.49,211201,2025-01-29,AXISGOLD
504.11,812125,2025-01-29,BANKBEES
192.37,1060,2025-01-29,BBTCL
1494.05,29107,2025-01-29,BECTORFOOD
121.42,1595430,2025-01-29,BEPL
531.85,1300810,2025-01-29,BSOFT
180.13,1257307,2025-01-29,CGCL
82.19,2302046,2025-01-29,CPSEETF
258.25,17594,2025-01-29,CSLFINANCE
101.96,33584,2025-01-29,DCM
1155.55,80822,2025-01-29,DCMSHRIRAM
1296.55,6560210,2025-01-29,DEEPAKFERT
190.94,186565,2025-01-29,EIFFL
163.08,2208840,2025-01-29,ENGINERSIN
218.55,966209,2025-01-29,EPL
46.2,64750,2025-01-29,FIBERWEB
2351.9,7479,2025-01-29,GALAXYSURF
1671.95,73308,2025-01-29,GANECOS
85.32,110768,2025-01-29,GEEKAYWIRE
322.65,502169,2025-01-29,GENUSPOWER
8698.2,21683,2025-01-29,GILLETTE
4497.35,33937,2025-01-29,GODFRYPHLP
10.15,105787,2025-01-29,GVPTECH
88.18,152719,2025-01-29,HDFCSILVER
412.65,244747,2025-01-29,HERITGFOOD
556.3,3958,2025-01-29,IFBAGRO
777.55,2589510,2025-01-29,INDHOTEL
544.75,5282493,2025-01-29,INDIANB
1211.0,73424,2025-01-29,INDIGOPNTS
161.5,53835770,2025-01-29,INOXWIND
194.18,11096358,2025-01-29,IRCON
8494.0,1968,2025-01-29,IWEL
135.55,391125,2025-01-29,JAIBALAJI
130.5,1204573,2025-01-29,JAICORPLTD
1399.4,250983,2025-01-29,JBMA
849.0,551268,2025-01-29,JINDALSTEL
36.13,84627,2025-01-29,JISLDVREQS
586.65,40549,2025-01-29,JITFINFRA
442.05,811361,2025-01-29,JSFB
40.49,193392,2025-01-29,KCPSUGIND
608.15,263200,2025-01-29,KIMS
688.4,132618,2025-01-29,KSB
869.55,28947,2025-01-29,KSL
945.4,11791,2025-01-29,KSOLVES
1228.95,16766,2025-01-29,LGBBROSLTD
7372.05,1026,2025-01-29,LICMFGOLD
35.38,38566,2025-01-29,MAGNUM
132.15,10901,2025-01-29,MAKEINDIA
40.93,7166,2025-01-29,MALUPAPER
415.75,499641,2025-01-29,MAMATA
27.92,26264,2025-01-29,MANAKALUCO
59.42,171923,2025-01-29,MANALIPETC
148.9,27050,2025-01-29,MIDCAP
319.9,433830,2025-01-29,MIDHANI
108.1,2157,2025-01-29,MODIRUBBER
35.35,4435,2025-01-29,MOLOWVOL
21.47,200573,2025-01-29,MONIFTY500
3009.25,636180,2025-01-29,MPHASIS
42.92,19766,2025-01-29,MURUDCERA
293.45,47491,2025-01-29,MUTHOOTCAP
124.48,831835,2025-01-29,NAVKARCORP
203.82,88427,2025-01-29,NCLIND
1872.95,54820,2025-01-29,NEOGEN
2180.7,397145,2025-01-29,NESTLEIND
247.56,2047,2025-01-29,NETF
13912.4,21643,2025-01-29,NEULANDLAB
390.9,99488,2025-01-29,NITINSPIN
95.21,110262,2025-01-29,NRL
321.25,16056888,2025-01-29,NTPC
347.35,714160,2025-01-29,NUVOCO
14.7,487867,2025-01-29,NV20IETF
9.9,96531,2025-01-29,ORIENTALTL
136.02,1983,2025-01-29,PALASHSECU
461.2,8271,2025-01-29,PAVNAIND
14411.4,2028,2025-01-29,PGHH
21.61,2786721,2025-01-29,PHARMABEES
71.16,25407,2025-01-29,PLAZACABLE
459.15,204048,2025-01-29,PPL
287.25,198139,2025-01-29,PRECAM
1318.4,818604,2025-01-29,PRESTIGE
498.4,344491,2025-01-29,PRICOLLTD
637.95,38971,2025-01-29,PSPPROJECT
2506.72,584,2025-01-29,QNIFTY
67.9,173303,2025-01-29,RADIANTCMS
201.38,20741,2025-01-29,RAMAPHO
11.98,23115510,2025-01-29,RAMASTEEL
157.88,7388307,2025-01-29,RBLBANK
490.05,29889,2025-01-29,REPRO
1735.05,5231,2025-01-29,ROLEXRINGS
219.8,14368,2025-01-29,RUBYMILLS
118.43,18078,2025-01-29,RUCHIRA
32.7,47384,2025-01-29,SAGARDEEP
672.7,93818,2025-01-29,SAILIFE
20.27,63203,2025-01-29,SALSTEEL
1475.25,1615,2025-01-29,SANDESH
285.9,17033,2025-01-29,SASTASUNDR
462.65,2281,2025-01-29,SBIETFIT
107.49,1750,2025-01-29,SECMARK
26651.35,37297,2025-01-29,SHREECEM
28.79,47279,2025-01-29,SILGO
331.95,346228,2025-01-29,SIS
200.05,74753,2025-01-29,SMSPHARMA
511.1,32837,2025-01-29,SOMANYCERA
314.9,554158,2025-01-29,SPANDANA
2604.8,26974,2025-01-29,STYRENIX
388.85,48087,2025-01-29,SUPRAJIT
114.06,567789,2025-01-29,SUVEN
505.1,9435799,2025-01-29,SYRMA
6173.85,143522,2025-01-29,TATAELXSI
130.8,16674706,2025-01-29,TATASTEEL
4099.8,1217089,2025-01-29,TCS
1480.7,22078,2025-01-29,TEGA
886.1,1400749,2025-01-29,TEJASNET
198.64,22440,2025-01-29,TREJHARA
80.41,74986,2025-01-29,UFO
16.21,1386666,2025-01-29,VAISHALI
1779.05,45323,2025-01-29,VENKEYS
976.95,322531,2025-01-29,VIJAYA
118.43,428519,2025-01-29,VINCOFE
123.3,934,2025-01-29,WEIZMANIND
102.32,128105,2025-01-29,XCHANGING
1695.3,1064959,2025-01-29,ZENTEC
396.7,86037,2025-01-29,AARTIDRUGS
26.39,6423,2025-01-29,ACEINTEG
522.75,7833685,2025-01-29,ADANIPOWER
1502.0,135801,2025-01-29,AFFLE
51.06,1176001,2025-01-29,AGSTRA
522.1,11092558,2025-01-29,AMBUJACEM
243.35,114265,2025-01-29,APEX
1521.95,156856,2025-01-29,APLAPOLLO
288.6,211134,2025-01-29,APTUS
337.9,698257,2025-01-29,ARVIND
636.5,362549,2025-01-29,ASAHIINDIA
483.35,780008,2025-01-29,ASHAPURMIN
28.7,124907,2025-01-29,ASHIMASYN
438.7,157950,2025-01-29,ASKAUTOLTD
7204.95,22236,2025-01-29,ASTRAZEN
623.85,971739,2025-01-29,ATGL
1156.15,540377,2025-01-29,AUROPHARMA
640.5,1424438,2025-01-29,AVALON
489.25,52430,2025-01-29,AVL
110.87,1027,2025-01-29,AXISCETF
11426.85,49369,2025-01-29,BAJAJHLDNG
1224.06,1580,2025-01-29,BBETF0432
422.4,5699176,2025-01-29,BLS
5362.75,1702312,2025-01-29,BSE
75.89,2133,2025-01-29,BSLSENETFG
46.92,12059,2025-01-29,BVCL
2001.75,171109,2025-01-29,CAPLIPOINT
697.6,35348,2025-01-29,CARYSIL
17.96,38714,2025-01-29,CCHHL
1291.45,5527228,2025-01-29,CDSL
14.09,33286,2025-01-29,CELEBRITY
526.8,12793,2025-01-29,CENTENKA
453.05,71907,2025-01-29,CIEINDIA
742.9,338611,2025-01-29,CONCOR
194.09,23261,2025-01-29,CROWN
1856.45,500967,2025-01-29,DALBHARAT
168.4,101655,2025-01-29,DCMSRIND
354.4,57310,2025-01-29,DREAMFOLKS
5182.9,357310,2025-01-29,EICHERMOT
461.65,290129,2025-01-29,EPACK
477.1,44893,2025-01-29,FDC
710.85,228137,2025-01-29,GENSOL
29.98,70004,2025-01-29,GINNIFILA
4.02,1316777,2025-01-29,GLOBE
1167.3,27876,2025-01-29,GMMPFAUDLR
356.0,32936,2025-01-29,GOCLCORP
8.96,129274,2025-01-29,GOYALALUM
163.49,95695,2025-01-29,GPTHEALTH
2103.1,309329,2025-01-29,GRAVITA
1261.65,10032,2025-01-29,GRINFRA
207.31,71278,2025-01-29,GRMOVER
132.0,206281,2025-01-29,GSLSU
678.6,35760,2025-01-29,GUJALKALI
256.72,92914,2025-01-29,HDFCNIFTY
157.1,857271,2025-01-29,HDFCSML250
211.45,23535,2025-01-29,HEXATRADEX
127.89,424364,2025-01-29,HITECH
306.55,35104,2025-01-29,HLEGLAS
54.14,7579142,2025-01-29,IFCI
622.3,233459,2025-01-29,INDGN
4293.9,344762,2025-01-29,INDIGO
21.5,403701,2025-01-29,INDOWIND
821.9,1485285,2025-01-29,INTELLECT
762.4,699239,2025-01-29,IRCTC
129.72,14326,2025-01-29,ISFT
46.02,118594,2025-01-29,IT
554.6,25311,2025-01-29,ITDC
44.11,3470,2025-01-29,ITETFADD
36.57,109912,2025-01-29,JAYNECOIND
18.54,45544,2025-01-29,JHS
238.3,23719434,2025-01-29,JIOFIN
381.6,175648,2025-01-29,JKPAPER
442.55,22237,2025-01-29,KABRAEXTRU
2.59,143416,2025-01-29,KANANIIND
4955.45,3519386,2025-01-29,KAYNES
4017.05,140623,2025-01-29,KEI
145.08,1298197,2025-01-29,KELLTONTEC
220.24,235014,2025-01-29,KESORAMIND
20.7,341210,2025-01-29,LOWVOLIETF
103.56,11453,2025-01-29,MANGALAM
236.4,781115,2025-01-29,MARKSANS
56.35,379911,2025-01-29,MASPTOP50
2496.2,59321,2025-01-29,MASTEK
96.33,76090,2025-01-29,MAWANASUG
8.31,112432,2025-01-29,METAL
1073.85,781623,2025-01-29,MFSL
1267.2,2632069,2025-01-29,MGL
426.0,30487411,2025-01-29,MOBIKWIK
56.99,483721,2025-01-29,MOM100
91.37,38443,2025-01-29,MOVALUE
584.45,141673,2025-01-29,MSTCLTD
36.11,337105,2025-01-29,MUKKA
14.77,200217,2025-01-29,MULTICAP
36.47,43011,2025-01-29,NAGREEKEXP
1081.75,751155,2025-01-29,NEWGEN
170.6,9475290,2025-01-29,NYKAA
62.21,262825,2025-01-29,ONMOBILE
45190.35,32215,2025-01-29,PAGEIND
13.73,5030531,2025-01-29,PCJEWELLER
492.2,208078,2025-01-29,PDSL
6275.95,724783,2025-01-29,PERSISTENT
36.59,2883997,2025-01-29,PFS
871.15,536749,2025-01-29,PNBHOUSING
533.75,286441,2025-01-29,PNGJL
522.75,4148484,2025-01-29,QUADFUTURE
591.75,113977,2025-01-29,QUESS
325.45,2653,2025-01-29,RACE
736.15,8293,2025-01-29,RACLGEAR
17.53,314757,2025-01-29,RANASUG
1516.95,25190,2025-01-29,RANEHOLDIN
116.8,29682,2025-01-29,RELTD
248.71,70161,2025-01-29,RESPONIND
83.99,41278,2025-01-29,RKEC
2412.25,90913,2025-01-29,RPGLIFE
1245.4,100520,2025-01-29,RRKABEL
306.7,4675,2025-01-29,SAHYADRI
193.48,73465,2025-01-29,SAKSOFT
449.75,253614,2025-01-29,SARDAEN
21.99,2374210,2025-01-29,SBC
111.0,3395,2025-01-29,SBIETFCON
1460.9,1021447,2025-01-29,SBILIFE
102.28,1237373,2025-01-29,SDBL
34.32,21652,2025-01-29,SELMC
57.0,36264,2025-01-29,SIGIND
512.3,351040,2025-01-29,SOLARA
211.92,326360,2025-01-29,STARCEMENT
2351.35,46885,2025-01-29,SUNCLAY
263.1,214661,2025-01-29,SURYAROSNI
1015.35,97365,2025-01-29,SUVENPHAR
359.0,175676,2025-01-29,TAJGVK
549.0,1910892,2025-01-29,TANLA
1095.25,288743,2025-01-29,TECHNOE
3199.45,332823,2025-01-29,TIINDIA
3370.75,570137,2025-01-29,TITAN
76.97,86895,2025-01-29,TNPETRO
34.09,351300,2025-01-29,TREL
5597.15,701998,2025-01-29,TRENT
202.52,236534,2025-01-29,UGROCAP
112.54,11886270,2025-01-29,UNIONBANK
471.05,1789,2025-01-29,UNITEDTEA
627.3,34938,2025-01-29,UNIVCABLES
416.7,4307,2025-01-29,URAVIDEF
3717.1,657,2025-01-29,VHL
1622.45,37841,2025-01-29,VINATIORGA
217.3,261143,2025-01-29,WANBURY
18.81,98741576,2025-01-29,YESBANK
7.96,641405,2025-01-29,ZEELEARN
103.72,42214,2025-01-29,ZIMLAB
26.2,409645,2025-01-29,3IINFOLTD
96.03,16963,2025-01-29,AAATECH
587.3,685549,2025-01-29,AARTIPHARM
121.43,10467,2025-01-29,AARVI
6110.85,119869,2025-01-29,ABB
49.83,33398,2025-01-29,ABSLBANETF
86.72,19510,2025-01-29,AHLADA
115.27,45364,2025-01-29,ALPA
85.04,138893,2025-01-29,ANDHRSUGAR
3063.95,38765,2025-01-29,ANUP
341.15,24049,2025-01-29,APCOTEXIND
126.74,24711,2025-01-29,ATAM
12.17,2342545,2025-01-29,BAIDFIN
1656.75,36684,2025-01-29,BALAMINES
2737.1,234076,2025-01-29,BALKRISIND
496.2,1181,2025-01-29,BANKETF
1263.5,347931,2025-01-29,BATAINDIA
1229.45,828662,2025-01-29,BDL
37.43,56106,2025-01-29,BEARDSELL
267.2,14361301,2025-01-29,BEL
199.86,38044200,2025-01-29,BHEL
51.85,9971,2025-01-29,BIOFILCHEM
641.5,160705,2025-01-29,CELLO
625.75,11394085,2025-01-29,CGPOWER
1503.75,128424,2025-01-29,CHOLAHLDNG
79.9,30089,2025-01-29,COMMOIETF
5419.9,49507,2025-01-29,CRISIL
255.3,79304,2025-01-29,DBCORP
77.45,24756,2025-01-29,DIVOPPBEES
101.06,268355,2025-01-29,DOLATALGO
808.3,1523,2025-01-29,ELDEHSG
690.05,1965608,2025-01-29,EMUDHRA
2419.85,42052,2025-01-29,ETHOSLTD
3.02,2109030,2025-01-29,FCSSOFT
463.75,121544,2025-01-29,FIRSTCRY
2266.05,1320,2025-01-29,GKWLIMITED
641.15,1647,2025-01-29,GLOSTERLTD
710.05,44334,2025-01-29,GMBREW
71.26,25973856,2025-01-29,GMRAIRPORT
548.55,429774,2025-01-29,GNFC
236.95,220528,2025-01-29,GODAVARIB
68.6,328543,2025-01-29,GOLDSHARE
265.15,11876841,2025-01-29,GREAVESCOT
51.83,44481,2025-01-29,GSS
469.7,533680,2025-01-29,GUJGASLTD
3700.5,1582724,2025-01-29,HAL
1719.0,3733620,2025-01-29,HCLTECH
29.63,204610,2025-01-29,HDFCMOMENT
337.4,70426,2025-01-29,HERANBA
200.68,5311,2025-01-29,HISARMETAL
225.75,12673,2025-01-29,HITECHCORP
356.06,117221,2025-01-29,HNGSNGBEES
221.95,417733,2025-01-29,HONASA
6331.7,4813,2025-01-29,ICRA
243.75,322218,2025-01-29,IIFLCAPS
1104.2,14995,2025-01-29,IMPAL
170.24,22838,2025-01-29,INDOBORAX
50.1,4279424,2025-01-29,IOB
697.7,6876,2025-01-29,JINDALPHOT
637.7,321064,2025-01-29,JSL
688.3,1761359,2025-01-29,JUBLFOOD
218.63,37770,2025-01-29,KAMATHOTEL
105.99,13349,2025-01-29,KANORICHEM
1796.0,129822,2025-01-29,KIRLOSBROS
1105.0,313569,2025-01-29,KIRLPNU
180.3,116266,2025-01-29,KRONOX
824.3,99025,2025-01-29,KRSNAA
115.86,36792,2025-01-29,KUANTUM
509.95,55475,2025-01-29,LANDMARK
15130.15,2461,2025-01-29,LMW
107.13,22415,2025-01-29,LOVABLE
148.95,48828,2025-01-29,LYKALABS
8.32,67201,2025-01-29,MADHUCON
