ClsPric,TtlTradgVol,TradDt,TckrSymb
198.99,95224,2025-03-18,20MICRONS
914.8,2043895,2025-03-18,360ONE
87.7,11233,2025-03-18,GOLD360
22.13,1498160,2025-03-18,3IINFOLTD
27564.35,4027,2025-03-18,3MINDIA
320.65,38144,2025-03-18,5PAISA
723.65,145743,2025-03-18,63MOONS
95.1,250653,2025-03-18,ABINFRA
66.61,49966,2025-03-18,AAATECH
427.95,464816,2025-03-18,AADHARHFC
8.08,164779,2025-03-18,AAKASH
33.54,65065,2025-03-18,AAREYDRUGS
348.0,6234,2025-03-18,AARON
352.25,229943,2025-03-18,AARTIDRUGS
388.7,979747,2025-03-18,AARTIIND
754.8,468989,2025-03-18,AARTIPHARM
435.2,25987,2025-03-18,AARTISURF
104.95,11709,2025-03-18,AARVI
1865.1,275023,2025-03-18,AAVAS
5410.9,508165,2025-03-18,ABB
29731.7,14248,2025-03-18,ABBOTINDIA
46.13,64,2025-03-18,ABMINTLLTD
1879.7,456477,2025-03-18,ACC
1264.85,14020,2025-03-18,ACCELYA
8.16,148972,2025-03-18,ACCURACY
21.18,8794,2025-03-18,ACEINTEG
199.85,730006,2025-03-18,ACMESOLAR
1192.8,216069,2025-03-18,ACE
798.55,1344527,2025-03-18,ADANIENSOL
2308.5,878007,2025-03-18,ADANIENT
900.9,4222109,2025-03-18,ADANIGREEN
1158.8,1865040,2025-03-18,ADANIPORTS
516.15,2910834,2025-03-18,ADANIPOWER
609.0,573899,2025-03-18,ATGL
248.13,1110693,2025-03-18,AWL
232.81,84730,2025-03-18,ADFFOODS
595.15,457467,2025-03-18,ABSLAMC
166.49,2839881,2025-03-18,ABCAPITAL
243.11,1764961,2025-03-18,ABFRL
1866.65,736629,2025-03-18,ABREL
436.45,26200,2025-03-18,AVL
78.64,193777,2025-03-18,BSLGOLDETF
26.28,305465,2025-03-18,BSLNIFTY
859.1,16417,2025-03-18,ADORWELD
14.76,27379,2025-03-18,ADROITINFO
271.4,174086,2025-03-18,ADVENZYMES
59.79,64069,2025-03-18,ADVANIHOTR
746.85,436802,2025-03-18,AEGISLOG
170.88,919120,2025-03-18,AEROFLEX
848.65,131709,2025-03-18,AETHER
449.05,479834,2025-03-18,AFCONS
1439.95,287315,2025-03-18,AFFLE
410.5,23832,2025-03-18,AFFORDABLE
982.45,22256,2025-03-18,AGARIND
686.35,223760,2025-03-18,AGI
814.1,53137,2025-03-18,AGIIL
136.46,10125,2025-03-18,AGRITECH
29.44,27873,2025-03-18,AGROPHOS
