ClsPric,TtlTradgVol,TradDt,TckrSymb
167.67,80277,2025-02-18,20MICRONS
884.65,946760,2025-02-18,360ONE
24.53,691468,2025-02-18,3IINFOLTD
26678.0,2475,2025-02-18,3MINDIA
353.65,30136,2025-02-18,5PAISA
615.8,131740,2025-02-18,63MOONS
81.84,450728,2025-02-18,ABINFRA
86.06,10716,2025-02-18,AAATECH
391.4,229263,2025-02-18,AADHARHFC
8.78,212355,2025-02-18,AAKASH
40.43,28468,2025-02-18,AAREYDRUGS
313.05,9946,2025-02-18,AARON
380.6,83800,2025-02-18,AARTIDRUGS
409.9,868811,2025-02-18,AARTIIND
808.9,1238538,2025-02-18,AARTIPHARM
451.55,22086,2025-02-18,AARTISURF
116.21,14029,2025-02-18,AARVI
1680.2,89579,2025-02-18,AAVAS
5142.05,3924895,2025-02-18,ABB
29325.5,24856,2025-02-18,ABBOTINDIA
51.84,229,2025-02-18,ABMINTLLTD
1880.4,1070947,2025-02-18,ACC
1291.15,10920,2025-02-18,ACCELYA
8.24,155141,2025-02-18,ACCURACY
20.57,9788,2025-02-18,ACEINTEG
181.68,762536,2025-02-18,ACMESOLAR
1119.45,258270,2025-02-18,ACE
677.15,2968321,2025-02-18,ADANIENSOL
2220.3,1138090,2025-02-18,ADANIENT
897.55,2718141,2025-02-18,ADANIGREEN
1085.15,1715308,2025-02-18,ADANIPORTS
484.75,2511478,2025-02-18,ADANIPOWER
579.4,583936,2025-02-18,ATGL
256.25,6032589,2025-02-18,AWL
220.8,131413,2025-02-18,ADFFOODS
641.6,112165,2025-02-18,ABSLAMC
154.09,4001586,2025-02-18,ABCAPITAL
250.5,1777879,2025-02-18,ABFRL
2064.55,137370,2025-02-18,ABREL
389.05,141886,2025-02-18,AVL
76.09,1984880,2025-02-18,BSLGOLDETF
26.4,386095,2025-02-18,BSLNIFTY
864.45,35847,2025-02-18,ADORWELD
14.31,30508,2025-02-18,ADROITINFO
294.15,237758,2025-02-18,ADVENZYMES
57.68,29716,2025-02-18,ADVANIHOTR
662.9,1907807,2025-02-18,AEGISLOG
185.21,1154887,2025-02-18,AEROFLEX
761.95,24816,2025-02-18,AETHER
435.15,1011233,2025-02-18,AFCONS
1479.55,220243,2025-02-18,AFFLE
418.0,70241,2025-02-18,AFFORDABLE
890.65,50170,2025-02-18,AGARIND
698.1,203065,2025-02-18,AGI
806.15,27147,2025-02-18,AGIIL
153.44,7376,2025-02-18,AGRITECH
34.59,29219,2025-02-18,AGROPHOS
796.05,49651,2025-02-18,ATFL
68.57,30953,2025-02-18,AHLADA
634.2,282713,2025-02-18,AHLUCONT
3405.55,31156,2025-02-18,AIAENG
66.24,198923,2025-02-18,GOLDTECH
27.4,141382,2025-02-18,AIRAN
104.53,3189,2025-02-18,AIROLAM
2756.4,274299,2025-02-18,AJANTPHARM
607.8,1404994,2025-02-18,AJAXENGG
803.7,64905,2025-02-18,AJMERA
6.61,201210,2025-02-18,AJOONI
26.16,1467,2025-02-18,AKASH
15.06,44621,2025-02-18,AKG
67.06,139152,2025-02-18,AFIL
227.45,5548,2025-02-18,AKSHARCHEM
503.15,655249,2025-02-18,AKUMS
3324.8,7139,2025-02-18,AKZOINDIA
15.16,590525,2025-02-18,ALANKIT
888.85,11233,2025-02-18,ALBERTDAVD
96.12,414192,2025-02-18,ALEMBICLTD
809.25,64020,2025-02-18,APLLTD
833.35,10256,2025-02-18,ALICON
1028.5,115217,2025-02-18,ALIVUS
87.17,12393,2025-02-18,ALKALI
4722.15,89080,2025-02-18,ALKEM
1603.0,36233,2025-02-18,ALKYLAMINE
62.85,469378,2025-02-18,ACLGATI
30.01,12957822,2025-02-18,ALLCARGO
28.32,992934,2025-02-18,ATL
904.5,23921,2025-02-18,ALLDIGI
325.2,413891,2025-02-18,ABDL
217.75,546316,2025-02-18,ADSL
21.46,292801,2025-02-18,ALMONDZ
16.14,4595522,2025-02-18,ALOKINDS
107.37,17227,2025-02-18,ALPA
241.1,22401,2025-02-18,ALPHAGEO
947.95,512886,2025-02-18,ARE&M
5514.25,1257883,2025-02-18,AMBER
26.6,22523,2025-02-18,AMBICAAGAR
1400.7,13783,2025-02-18,AMBIKCO
486.75,2265621,2025-02-18,AMBUJACEM
44.41,8045,2025-02-18,AMDIND
2193.4,342309,2025-02-18,AMIORG
227.8,29922,2025-02-18,AMNPLST
47.74,27127,2025-02-18,AMJLAND
598.25,17786,2025-02-18,AMRUTANJAN
3719.7,98031,2025-02-18,ANANDRATHI
510.6,3846200,2025-02-18,ANANTRAJ
60.17,49297,2025-02-18,ACL
76.83,69438,2025-02-18,ANDHRAPAP
74.83,133503,2025-02-18,ANDHRSUGAR
2213.4,690499,2025-02-18,ANGELONE
92.96,19780,2025-02-18,ANIKINDS
123.2,24354,2025-02-18,APCL
17.13,97103,2025-02-18,ANMOL
1.03,430084,2025-02-18,ANTGRAPHIC
529.55,66570,2025-02-18,AWHCL
162.55,37303,2025-02-18,ANUHPHR
636.8,204134,2025-02-18,ANURAS
6160.6,197887,2025-02-18,APARINDS
319.85,14563,2025-02-18,APCOTEXIND
210.55,51131,2025-02-18,APEX
1324.9,361853,2025-02-18,APLAPOLLO
6376.85,220118,2025-02-18,APOLLOHOSP
106.05,5834768,2025-02-18,APOLLO
322.65,55700,2025-02-18,APOLLOPIPE
1212.55,5342,2025-02-18,APOLSINHOT
412.1,706450,2025-02-18,APOLLOTYRE
118.45,193825,2025-02-18,APTECHT
306.2,209610,2025-02-18,APTUS
440.45,601156,2025-02-18,ACI
74.98,1949,2025-02-18,ADL
85.87,91481,2025-02-18,ARCHIDPLY
18.5,33523,2025-02-18,ARCHIES
71.18,235714,2025-02-18,ARIHANTCAP
403.75,26827,2025-02-18,ARIHANTSUP
139.49,1244206,2025-02-18,ARKADE
1274.95,56851,2025-02-18,ARMANFIN
37.75,10189,2025-02-18,AROGRANITE
260.5,88690,2025-02-18,ARTEMISMED
127.13,913,2025-02-18,ARVEE
395.95,550466,2025-02-18,ARVINDFASN
318.55,724870,2025-02-18,ARVIND
672.0,60522,2025-02-18,ARVSMART
667.4,271915,2025-02-18,ASAHIINDIA
271.35,3002,2025-02-18,ASAHISONG
395.25,561989,2025-02-18,ASHAPURMIN
296.3,45693,2025-02-18,ASHIANA
22.95,306457,2025-02-18,ASHIMASYN
222.28,7370396,2025-02-18,ASHOKLEY
197.7,2618288,2025-02-18,ASHOKA
17.73,54954,2025-02-18,ASHOKAMET
224.3,209725,2025-02-18,ASIANENE
46.9,1176310,2025-02-18,ASIANTILES
128.53,18779,2025-02-18,AHLEAST
2237.6,735853,2025-02-18,ASIANPAINT
420.35,137533,2025-02-18,ASKAUTOLTD
276.0,8504,2025-02-18,ASPINWALL
1028.2,46362,2025-02-18,ASALCBR
710.25,168897,2025-02-18,ASTEC
404.1,393471,2025-02-18,ASTERDM
605.15,313059,2025-02-18,ASTRAMICRO
1362.9,392266,2025-02-18,ASTRAL
6977.3,48880,2025-02-18,ASTRAZEN
14.41,57398,2025-02-18,ASTRON
92.36,49816,2025-02-18,ATAM
455.75,50901,2025-02-18,ATULAUTO
5394.9,45378,2025-02-18,ATUL
502.4,8809316,2025-02-18,AUBANK
1282.9,80444,2025-02-18,AURIONPRO
1163.35,547034,2025-02-18,AUROPHARMA
169.04,23651,2025-02-18,AURUM
84.78,5395,2025-02-18,AUSOMENT
1527.75,159807,2025-02-18,AIIL
74.17,153979,2025-02-18,AUTOIND
1677.2,9218,2025-02-18,AUTOAXLES
437.7,16967,2025-02-18,ASAL
416.7,112389,2025-02-18,AVADHSUGAR
627.85,759370,2025-02-18,AVALON
101.44,1506181,2025-02-18,AVANTEL
660.1,447817,2025-02-18,AVANTIFEED
3676.6,372638,2025-02-18,DMART
195.15,4457,2025-02-18,AVROIND
63.39,87403,2025-02-18,AVTNPL
640.9,302820,2025-02-18,AWFIS
994.15,3090004,2025-02-18,AXISBANK
