ClsPric,TtlTradgVol,TradDt,TckrSymb
1638.4,149384,2025-01-15,AAVAS
606.6,68175,2025-01-15,AWHCL
197.92,2284,2025-01-15,CONSOFINVT
5015.2,17523,2025-01-15,BASF
237.19,238528,2025-01-15,EXICOM
105.0,210475,2025-01-15,GEOJITFSL
478.6,10507,2025-01-15,HINDCOMPOS
1795.5,569286,2025-01-15,HYUNDAI
250.3,613351,2025-01-15,VPRPL
230.7,2351991,2025-01-15,PPLPHARMA
620.3,139392,2025-01-15,AKUMS
1917.95,317496,2025-01-15,IKS
627.45,11293,2025-01-15,RUSTOMJEE
191.34,904426,2025-01-15,MON100
238.4,12634,2025-01-15,NAHARPOLY
57.16,13348897,2025-01-15,NETWORK18
20.02,2755603,2025-01-15,SUBEXLTD
1042.5,44140,2025-01-15,SUNDRMFAST
2139.5,77003,2025-01-15,DATAPATTNS
724.1,2512,2025-01-15,GANDHITUBE
1193.5,40466,2025-01-15,HIRECT
728.55,407347,2025-01-15,KRN
195.21,10199198,2025-01-15,NATIONALUM
97.71,21033,2025-01-15,SHIVAMILLS
66.67,23276,2025-01-15,TARMAT
295.0,9769,2025-01-15,VENUSREM
105.23,23172682,2025-01-15,VMM
67.33,13954,2025-01-15,RELIABLE
917.3,126434,2025-01-15,IMFA
67.64,107865,2025-01-15,UTINEXT50
1253.85,1132553,2025-01-15,CHOLAFIN
2361.1,135250,2025-01-15,DEEPAKNTR
1051.98,366147,2025-01-15,LIQUIDADD
865.88,6346,2025-01-15,SENSEXIETF
650.6,193834,2025-01-15,INDIASHLTR
636.9,36807,2025-01-15,SHANKARA
177.94,11373283,2025-01-15,GAIL
58.58,2113,2025-01-15,GSEC5IETF
373.1,306785,2025-01-15,JSFB
117.66,1919039,2025-01-15,JMFINANCIL
466.1,61326,2025-01-15,KABRAEXTRU
123.62,20325,2025-01-15,KOKUYOCMLN
107.46,399852,2025-01-15,SDBL
685.35,369851,2025-01-15,TIPSMUSIC
401.95,89585,2025-01-15,PRINCEPIPE
463.25,93194,2025-01-15,CIEINDIA
5196.1,3157,2025-01-15,ESABINDIA
1113.05,66443,2025-01-15,GALAPREC
10.78,44961,2025-01-15,GVPTECH
255.92,1013506,2025-01-15,HDFCNIFTY
2390.65,1390,2025-01-15,LUMAXIND
987.45,144387,2025-01-15,NESCO
1116.35,740926,2025-01-15,SIGNATURE
88.17,121203,2025-01-15,SILVERETF
307.8,5090,2025-01-15,SAHYADRI
1737.0,328842,2025-01-15,DALBHARAT
1954.7,167837,2025-01-15,KIRLOSBROS
311.55,453792,2025-01-15,CSBBANK
191.21,8830,2025-01-15,DCMNVL
20.23,178179,2025-01-15,HDFCMID150
675.4,64035,2025-01-15,AMRUTANJAN
590.7,120393,2025-01-15,CYIENTDLM
